Atom(A) Atom(B) Deloc_index
O1 O2 0.30375759088
O1 N3 0.01189776904
O2 N3 0.058399631894
O1 C4 0.084559351773
O2 C4 0.093764757791
N3 C4 0.99714416708
O1 C5 0.021981642108
O2 C5 0.022106736385
N3 C5 0.08448918244
C4 C5 0.94795797094
O1 C6 0.83584583793
O2 C6 1.2359560517
N3 C6 0.061890744027
C4 C6 0.87346400954
C5 C6 0.056495279344
O1 H7 0.020167086229
O2 H7 0.014081192608
N3 H7 0.059530734368
C4 H7 0.8999203286
C5 H7 0.038602986868
C6 H7 0.038704158293
O1 H8 0.016003312916
O2 H8 0.0011333956307
N3 H8 0.019177911855
C4 H8 0.036773574175
C5 H8 0.95387753765
C6 H8 0.0039556783114
H7 H8 0.002992253809
O1 H9 0.0029936112492
O2 H9 0.0048679811316
N3 H9 0.011596507501
C4 H9 0.040243542806
C5 H9 0.95705406102
C6 H9 0.011048126801
H7 H9 0.0038923277536
H8 H9 0.036642360803
O1 H10 0.0012371878749
O2 H10 0.0069156650292
N3 H10 0.013874788612
C4 H10 0.040218433757
C5 H10 0.95518106667
C6 H10 0.006351876264
H7 H10 0.011948845762
H8 H10 0.036326625045
H9 H10 0.038136433007
O1 H11 0.0018063398822
O2 H11 0.0031105895792
N3 H11 0.87272673272
C4 H11 0.022735004325
C5 H11 0.0089917706984
C6 H11 0.008437693253
H7 H11 0.00095685808401
H8 H11 0.00077645609125
H9 H11 0.0051490966953
H10 H11 0.00072194636739
O1 H12 0.001571828485
O2 H12 0.03199479316
N3 H12 0.82954130659
C4 H12 0.021864797464
C5 H12 0.0024598213091
C6 H12 0.0045278274885
H7 H12 0.0093009925468
H8 H12 0.00041280249084
H9 H12 0.00028526587689
H10 H12 0.0014645885024
H11 H12 0.016156989982
O1 H13 0.61997660669
O2 H13 0.017671028063
N3 H13 0.001649013285
C4 H13 0.008725640231
C5 H13 0.00051696911341
C6 H13 0.011167872141
H7 H13 0.00059913339872
H8 H13 0.00024580751354
H9 H13 0.0001338366863
H10 H13 4.4355428934e-05
H11 H13 0.00039044722503
H12 H13 5.6226871981e-05
