Atom(A) Atom(B) Deloc_index
O1 O2 0.29301349455
O1 N3 0.012367735948
O2 N3 0.057382374481
O1 N4 0.00080859880396
O2 N4 0.000153762333
N3 N4 0.0012003114757
O1 N5 2.0803248536e-05
O2 N5 3.7434823528e-06
N3 N5 2.9532274307e-05
N4 N5 0.19842036447
O1 N6 3.3360534114e-05
O2 N6 1.3685276603e-05
N3 N6 3.2067770382e-05
N4 N6 0.19253486425
N5 N6 0.14631509929
O1 C7 0.024908424779
O2 C7 0.013774231263
N3 C7 0.068245501593
N4 C7 0.022800580058
N5 C7 0.00030855507966
N6 C7 0.0007345498839
O1 C8 0.0094769103903
O2 C8 0.0053236284672
N3 C8 0.021054071773
N4 C8 0.071876415731
N5 C8 0.0013081915381
N6 C8 0.0035388681242
C7 C8 0.97058338774
O1 C9 0.078253642095
O2 C9 0.090081639236
N3 C9 0.97504871369
N4 C9 0.0022471211226
N5 C9 3.224138156e-05
N6 C9 0.0001598536348
C7 C9 0.93132517979
C8 C9 0.041173260883
O1 C10 0.00083620155943
O2 C10 0.00071714818361
N3 C10 0.0018218099365
N4 C10 0.97151603723
N5 C10 0.015784576114
N6 C10 0.028420661463
C7 C10 0.042996685653
C8 C10 0.95407056158
C9 C10 0.0095709508986
O1 C11 0.7902298022
O2 C11 1.1829994308
N3 C11 0.059324313164
N4 C11 0.00017547429655
N5 C11 2.4028866782e-06
N6 C11 1.961565098e-05
C7 C11 0.042124684203
C8 C11 0.010448727465
C9 C11 0.87239803032
C10 C11 0.0014144772018
O1 C12 3.088670643e-05
O2 C12 1.3073541451e-05
N3 C12 0.00013626496901
N4 C12 1.3628167468
N5 C12 0.93461980713
N6 C12 0.93447840621
C7 C12 0.0012036324272
C8 C12 0.006585784458
C9 C12 0.00011222316984
C10 C12 0.030666744803
C11 C12 1.1051164066e-05
O1 H13 0.01894941049
O2 H13 0.00085118695529
N3 H13 0.011216022077
N4 H13 0.026937763029
N5 H13 0.0003650934564
N6 H13 0.00061261314264
C7 H13 0.92668647459
C8 H13 0.035430139654
C9 H13 0.037191278395
C10 H13 0.0029825976217
C11 H13 0.0020896062542
C12 H13 0.0013254885924
O1 H14 0.0027729635714
O2 H14 0.0031733321185
N3 H14 0.013858449845
N4 H14 0.0026539435271
N5 H14 7.588655665e-05
N6 H14 0.00011553700877
C7 H14 0.93801090281
C8 H14 0.039374844012
C9 H14 0.042239291215
C10 H14 0.0089270698599
C11 H14 0.0090388199659
C12 H14 0.00018566416795
H13 H14 0.035558128972
O1 H15 0.0007579071299
O2 H15 0.0012140861282
N3 H15 0.0320795427
N4 H15 0.011635078446
N5 H15 0.00045570059492
N6 H15 0.00014746115672
C7 H15 0.038415960343
C8 H15 0.93433349774
C9 H15 0.0046145243738
C10 H15 0.039319685784
C11 H15 0.00073524662654
C12 H15 0.0012622716255
H13 H15 0.010472189942
H14 H15 0.0025645497191
O1 H16 0.016361673208
O2 H16 0.0062814402313
N3 H16 0.0011202347019
N4 H16 0.014411859504
N5 H16 0.0002731797634
N6 H16 0.00076470320012
C7 H16 0.040191735442
C8 H16 0.93290007815
C9 H16 0.0037655368402
C10 H16 0.03928861832
C11 H16 0.006973465761
C12 H16 0.00061904724755
H13 H16 0.0033982170065
H14 H16 0.011802270114
H15 H16 0.036194593142
O1 H17 0.014566310638
O2 H17 0.016374349654
N3 H17 0.068792815121
N4 H17 0.0001508365336
N5 H17 3.7514166769e-06
N6 H17 2.9223346604e-05
C7 H17 0.03761599642
C8 H17 0.009532191719
C9 H17 0.90157463922
C10 H17 0.0016995898893
C11 H17 0.049619854559
C12 H17 1.2657555275e-05
H13 H17 0.0044255413679
H14 H17 0.0034574306334
H15 H17 0.00061519985756
H16 H17 0.00036882396265
O1 H18 0.00044360185844
O2 H18 0.00025903813032
N3 H18 0.0001408833981
N4 H18 0.068936164924
N5 H18 0.0038530894044
N6 H18 0.01892835236
C7 H18 0.0084668764277
C8 H18 0.040408238155
C9 H18 0.00074084621039
C10 H18 0.90818909133
C11 H18 0.00036574510289
C12 H18 0.011310835006
H13 H18 0.00037096631209
H14 H18 0.008341405094
H15 H18 0.0034454018786
H16 H18 0.011261636327
H17 H18 4.8544720587e-05
O1 H19 5.7557640187e-05
O2 H19 7.4114048781e-05
N3 H19 0.0001597442883
N4 H19 0.066584211028
N5 H19 0.0034801794868
N6 H19 0.013784616094
C7 H19 0.010262601088
C8 H19 0.040819942076
C9 H19 0.001847849933
C10 H19 0.91714911532
C11 H19 0.00011910170459
C12 H19 0.011865523865
H13 H19 0.00042699738286
H14 H19 0.00083032287632
H15 H19 0.0042181047135
H16 H19 0.0036874105419
H17 H19 0.00054293534103
H18 H19 0.038968681187
O1 H20 0.001294971498
O2 H20 0.033645185197
N3 H20 0.82518980805
N4 H20 0.00012886427961
N5 H20 2.2104169514e-06
N6 H20 5.2813185779e-06
C7 H20 0.0072597012559
C8 H20 0.00034388697193
C9 H20 0.019991585426
C10 H20 4.6921216119e-05
C11 H20 0.0046357842633
C12 H20 1.0816265955e-05
H13 H20 0.0016945503936
H14 H20 0.00070944165108
H15 H20 0.00048888903791
H16 H20 2.3158979967e-05
H17 H20 0.0011653459554
H18 H20 4.3637456159e-06
H19 H20 8.6929311455e-06
O1 H21 0.0014546267851
O2 H21 0.0029592558319
N3 H21 0.88009438034
N4 H21 4.2054954718e-05
N5 H21 1.060057926e-06
N6 H21 1.3335564122e-06
C7 H21 0.0019503874831
C8 H21 0.0005049243242
C9 H21 0.022352890091
C10 H21 4.4607985277e-05
C11 H21 0.0068661882604
C12 H21 5.1732682201e-06
H13 H21 0.00030870714579
H14 H21 0.0014386104062
H15 H21 0.00061589638083
H16 H21 8.3395251337e-05
H17 H21 0.0043312286606
H18 H21 6.0383382097e-06
H19 H21 3.0221413987e-06
H20 H21 0.015892792257
O1 H22 0.61171857335
O2 H22 0.015711131834
N3 H22 0.0015453408847
N4 H22 7.4110293511e-06
N5 H22 5.8571877132e-07
N6 H22 5.0834094316e-07
C7 H22 0.00066785328319
C8 H22 9.3023058353e-05
C9 H22 0.0075893812137
C10 H22 5.1939334507e-06
C11 H22 0.010428066343
C12 H22 9.0918525052e-07
H13 H22 0.00049629579236
H14 H22 6.0019790001e-05
H15 H22 7.0922965104e-06
H16 H22 0.00010335994319
H17 H22 0.00030478432392
H18 H22 3.595417143e-06
H19 H22 1.8098251997e-06
H20 H22 7.2819958708e-05
H21 H22 0.000252567768
O1 H23 2.7874040333e-06
O2 H23 6.0661144682e-07
N3 H23 3.0822519527e-06
N4 H23 0.01844497946
N5 H23 0.82160762548
N6 H23 0.010841644261
C7 H23 3.3836551588e-05
C8 H23 0.00017389109105
C9 H23 2.9005027689e-06
