Atom(A) Atom(B) Deloc_index
O1 O2 0.32118323796
O1 O3 0.042478045682
O2 O3 0.0090994853582
O1 N4 0.017501228697
O2 N4 0.064613966854
O3 N4 0.0049907862782
O1 N5 0.01156412077
O2 N5 0.0017033353941
O3 N5 0.30453133027
N4 N5 0.0034169981047
O1 C6 0.089985146031
O2 C6 0.10244041225
O3 C6 0.019702769149
N4 C6 1.0220502048
N5 C6 0.017669173817
O1 C7 0.013297570412
O2 C7 0.024287983704
O3 C7 0.12315207199
N4 C7 0.086335964851
N5 C7 0.094018831454
C6 C7 0.92908822385
O1 C8 0.90833743133
O2 C8 1.3085134132
O3 C8 0.012123999083
N4 C8 0.076863844319
N5 C8 0.0017172424125
C6 C8 0.86711209103
C7 C8 0.053251687053
O1 C9 0.016999199053
O2 C9 0.0020467521748
O3 C9 1.2993817948
N4 C9 0.012891766833
N5 C9 1.0540251955
C6 C9 0.043397556371
C7 C9 0.91148439094
C8 C9 0.0067637017963
O1 H10 0.021994005513
O2 H10 0.015621135775
O3 H10 0.0014958904963
N4 H10 0.054830032026
N5 H10 0.010917813502
C6 H10 0.89383869948
C7 H10 0.036270575244
C8 H10 0.035479860915
C9 H10 0.0041672321779
O1 H11 0.0018980746605
O2 H11 0.0049370899452
O3 H11 0.018390856636
N4 H11 0.022120893815
N5 H11 0.017369921167
C6 H11 0.03685654386
C7 H11 0.92378573226
C8 H11 0.010638136519
C9 H11 0.033744519739
H10 H11 0.0041397511284
O1 H12 0.0012130870655
O2 H12 0.0087076312754
O3 H12 0.023369024498
N4 H12 0.012893433618
N5 H12 0.010648128116
C6 H12 0.035609520491
C7 H12 0.91680986004
C8 H12 0.005766691647
C9 H12 0.033896561937
H10 H12 0.011436834455
H11 H12 0.031262515293
O1 H13 0.0017055223535
O2 H13 0.02184836544
O3 H13 0.00020155937754
N4 H13 0.84021756884
N5 H13 0.00042102749173
C6 H13 0.023990864937
C7 H13 0.0049158516128
C8 H13 0.0038600659745
C9 H13 0.00041614190864
H10 H13 0.011363060762
H11 H13 0.0004255449585
H12 H13 0.0039704152161
O1 H14 0.00051771135626
O2 H14 0.0032921214265
O3 H14 0.0012799501783
N4 H14 0.86868940497
N5 H14 0.00059476083354
C6 H14 0.024584254392
C7 H14 0.011307813211
C8 H14 0.0029859742776
C9 H14 0.0027446500565
H10 H14 0.0026357807727
H11 H14 0.00069403776899
H12 H14 0.00085520401254
H13 H14 0.016967323647
O1 H15 0.00016294212822
O2 H15 0.00021792607275
O3 H15 0.023752491406
N4 H15 0.00023254653105
N5 H15 0.81326144768
C6 H15 0.0011694667117
C7 H15 0.0063039561046
C8 H15 0.000152462146
C9 H15 0.017347917156
H10 H15 0.001489552315
H11 H15 0.0044042951111
H12 H15 0.00066150152848
H13 H15 5.0914402204e-05
H14 H15 1.1518675936e-05
O1 H16 0.00013852902472
O2 H16 9.3738391096e-05
O3 H16 0.017508808403
N4 H16 0.00035469704224
N5 H16 0.80083908819
C6 H16 0.00062682629657
C7 H16 0.011917710012
C8 H16 5.0725431708e-05
C9 H16 0.018608575034
H10 H16 0.00023013399519
H11 H16 0.00074753953424
H12 H16 0.0020287983877
H13 H16 3.3640652248e-05
H14 H16 0.00011314487823
H15 H16 0.016010665797
O1 H17 0.62893141167
O2 H17 0.020545403763
O3 H17 0.00054727374
N4 H17 0.00336469908
N5 H17 0.00026519947304
C6 H17 0.010596676034
C7 H17 0.00071933214482
C8 H17 0.012632507976
C9 H17 0.00021129670022
H10 H17 0.00070034698401
H11 H17 0.00028876291603
H12 H17 4.1414538269e-05
H13 H17 9.9204900401e-05
H14 H17 8.8222074013e-05
H15 H17 3.7289012011e-06
H16 H17 2.9345034166e-06
