Atom(A) Atom(B) Deloc_index
O1 O2 0.011513095154
O1 O3 0.29841497365
O2 O3 0.00069098887852
O1 O4 0.025815121013
O2 O4 0.29960958327
O3 O4 0.0013768197108
O1 N5 0.011634479094
O2 N5 0.0024744214945
O3 N5 0.058835308204
O4 N5 0.0047013071737
O1 C6 0.078173753066
O2 C6 0.0097024872531
O3 C6 0.095309852542
O4 C6 0.028157038068
N5 C6 0.99605500013
O1 C7 0.031712320339
O2 C7 0.091111288683
O3 C7 0.013642286717
O4 C7 0.10231074492
N5 C7 0.079239488846
C6 C7 0.93543604514
O1 C8 0.81519955013
O2 C8 0.00082610290451
O3 C8 1.2148308434
O4 C8 0.0021004954073
N5 C8 0.061206420958
C6 C8 0.87384131503
C7 C8 0.04144974491
O1 C9 0.021572149319
O2 C9 0.8172015465
O3 C9 0.0010699003226
O4 C9 1.2062964793
N5 C9 0.01041800563
C6 C9 0.037111001995
C7 C9 0.90595248686
C8 C9 0.0023570420704
O1 H10 0.0092269558033
O2 H10 0.0014977341843
O3 H10 0.016955586415
O4 H10 0.034528081664
N5 H10 0.063061679127
C6 H10 0.88129775018
C7 H10 0.034965988061
C8 H10 0.047339945387
C9 H10 0.0047353409354
O1 H11 0.010212137592
O2 H11 0.019818731407
O3 H11 0.0012592271929
O4 H11 0.013999369664
N5 H11 0.0090926504431
C6 H11 0.034054599135
C7 H11 0.92811709937
C8 H11 0.0058430933277
C9 H11 0.033910488004
H10 H11 0.0096390090374
O1 H12 0.0037611639779
O2 H12 0.0094186535411
O3 H12 0.0028944784319
O4 H12 0.018875233832
N5 H12 0.018582524243
C6 H12 0.034366361431
C7 H12 0.92211323426
C8 H12 0.0078287946085
C9 H12 0.04764604725
H10 H12 0.001875194024
H11 H12 0.032097724738
O1 H13 0.0013716553654
O2 H13 0.00046859292295
O3 H13 0.034700653182
O4 H13 0.00017623849079
N5 H13 0.81925332861
C6 H13 0.02021106462
C7 H13 0.0079224122118
C8 H13 0.0044211436888
C9 H13 0.0015462157963
H10 H13 0.00098482249323
H11 H13 0.00017730770237
H12 H13 0.00095243968321
O1 H14 0.0016025277293
O2 H14 8.9354669565e-05
O3 H14 0.0029462505799
O4 H14 0.0002355325834
N5 H14 0.87488687149
C6 H14 0.022966300162
C7 H14 0.0022800735555
C8 H14 0.0075354555367
C9 H14 0.00025087825572
H10 H14 0.0039665215797
H11 H14 0.00025066929326
H12 H14 0.0017966878032
H13 H14 0.015534754908
O1 H15 0.60789709465
O2 H15 0.00015352455632
O3 H15 0.015744228871
O4 H15 0.00059471757657
N5 H15 0.0014340658455
C6 H15 0.0081652211294
C7 H15 0.0008864776427
C8 H15 0.010555584254
C9 H15 0.0005621086605
H10 H15 0.00029880743743
H11 H15 0.00010856570871
H12 H15 7.8181415915e-05
H13 H15 6.7284981683e-05
H14 H15 0.00032670846534
O1 H16 7.3530875653e-05
O2 H16 0.61739746068
O3 H16 2.1889187206e-05
O4 H16 0.016896454909
N5 H16 0.00051887521999
C6 H16 0.0012519014691
C7 H16 0.0087803137353
C8 H16 3.4384931649e-05
C9 H16 0.010599502202
H10 H16 4.7956060517e-05
H11 H16 0.00064066329362
H12 H16 0.00039135145381
H13 H16 0.00010916944526
H14 H16 1.5055006451e-05
H15 H16 9.0132964589e-07
