Atom(A) Atom(B) Deloc_index
S1 S2 1.3107862647
S1 O3 0.0016914084626
S2 O3 0.00029947404789
S1 O4 0.0032494770849
S2 O4 0.023349348924
O3 O4 1.0893800412e-06
S1 O5 0.041560592788
S2 O5 0.0033166147322
O3 O5 0.29415963821
O4 O5 7.2391534083e-06
S1 O6 0.0016674889772
S2 O6 0.016475572645
O3 O6 8.3854000609e-07
O4 O6 0.29671523402
O5 O6 1.1589149959e-05
S1 N7 0.0200780327
S2 N7 0.0031940598102
O3 N7 0.039500155887
O4 N7 2.3932163434e-05
O5 N7 0.019423654354
O6 N7 1.2707676878e-05
S1 N8 0.0030099392188
S2 N8 0.027758544598
O3 N8 2.5996422301e-06
O4 N8 0.012533079874
O5 N8 2.9658893436e-05
O6 N8 0.041667396316
N7 N8 2.9481452329e-05
S1 C9 0.067990661168
S2 C9 0.014775451318
O3 C9 0.079016087326
O4 C9 5.9582866892e-05
O5 C9 0.090984805716
O6 C9 2.8382621965e-05
N7 C9 0.97488952445
N8 C9 0.0001192548592
S1 C10 0.017182198296
S2 C10 0.062957909142
O3 C10 8.1291999441e-06
O4 C10 0.08046287512
O5 C10 5.5577402451e-05
O6 C10 0.091707847483
N7 C10 9.0943102091e-05
N8 C10 0.97428826427
C9 C10 0.0003478820885
S1 C11 1.0600505184
S2 C11 0.077205322147
O3 C11 0.0088824939291
O4 C11 0.00036797957685
O5 C11 0.034030783816
O6 C11 0.0003642249883
N7 C11 0.074282902226
N8 C11 0.00017934500624
C9 C11 0.94643202636
C10 C11 0.00084796171723
S1 C12 0.075187516267
S2 C12 1.0642453091
O3 C12 3.8876529583e-05
O4 C12 0.0084578436934
O5 C12 0.00073612097682
O6 C12 0.027266811563
N7 C12 0.00019574075213
N8 C12 0.085693752173
C9 C12 0.00092644116084
C10 C12 0.93795258008
C11 C12 0.0040226311173
S1 C13 0.0095783024642
S2 C13 0.0014468586794
O3 C13 0.78880151705
O4 C13 3.6586328734e-06
O5 C13 1.2006911845
O6 C13 3.30412579e-06
N7 C13 0.069523896593
N8 C13 1.6693211534e-05
C9 C13 0.86082292555
C10 C13 4.3205110796e-05
C11 C13 0.03701708252
C12 C13 0.00020948911464
S1 C14 0.0013434099461
S2 C14 0.019863229419
O3 C14 9.1576571171e-07
O4 C14 0.80345039431
O5 C14 6.4835570068e-06
O6 C14 1.1752012301
N7 C14 1.1040003847e-05
N8 C14 0.072715387936
C9 C14 4.1045300613e-05
C10 C14 0.85215926226
C11 C14 0.00029930842124
C12 C14 0.045989188341
C13 C14 4.3364566806e-06
S1 H15 0.018114478014
S2 H15 0.026554743665
O3 H15 0.013609810265
O4 H15 4.4439186167e-05
O5 H15 0.013016465358
O6 H15 2.1675331093e-05
N7 H15 0.066807676283
N8 H15 0.00022498240386
C9 H15 0.89182585662
C10 H15 0.00038292254256
C11 H15 0.036253264518
C12 H15 0.00093369432089
C13 H15 0.040680885877
C14 H15 3.6771342652e-05
S1 H16 0.030380728311
S2 H16 0.0076121915544
O3 H16 6.0264252063e-06
O4 H16 0.020779732512
O5 H16 5.7653633144e-05
O6 H16 0.010295557837
N7 H16 0.00011455666097
N8 H16 0.053416258341
C9 H16 0.0003888989256
C10 H16 0.89535823543
C11 H16 0.00087831259303
C12 H16 0.035695672591
C13 H16 2.1427630244e-05
C14 H16 0.029925203163
H15 H16 5.5117524873e-05
S1 H17 0.058864094594
S2 H17 0.017300715911
O3 H17 0.0018793908255
O4 H17 7.1013465152e-05
O5 H17 0.002823364955
O6 H17 8.5259511292e-05
N7 H17 0.015290388222
N8 H17 5.801815496e-05
C9 H17 0.035163683629
C10 H17 0.00031997223115
C11 H17 0.93281053804
C12 H17 0.0046278430014
C13 H17 0.0078640529042
C14 H17 0.00016370388985
H15 H17 0.0016353433848
H16 H17 6.1691688691e-05
S1 H18 0.047702608496
S2 H18 0.016095888888
O3 H18 0.0011679113427
O4 H18 3.9878886455e-05
O5 H18 0.024551825707
O6 H18 9.234575316e-05
N7 H18 0.0092598483705
N8 H18 1.75413609e-05
C9 H18 0.033065078383
C10 H18 4.5967527841e-05
C11 H18 0.92322012718
C12 H18 0.00040967663207
C13 H18 0.0052412543923
C14 H18 5.0824839222e-05
H15 H18 0.009529589691
H16 H18 3.1883363074e-05
H17 H18 0.03037926987
S1 H19 0.011299011603
S2 H19 0.060039902133
O3 H19 3.2621392019e-05
O4 H19 0.0016598091631
O5 H19 6.3883930169e-05
O6 H19 0.0035006628871
N7 H19 6.2796543659e-05
N8 H19 0.013526739092
C9 H19 0.00034170330119
C10 H19 0.035405477421
C11 H19 0.0043857829379
C12 H19 0.93634588253
C13 H19 0.00013894005302
C14 H19 0.008770861545
H15 H19 7.0407252703e-05
H16 H19 0.0025773246157
H17 H19 0.0067854157154
H18 H19 0.00040826729528
S1 H20 0.016858250323
S2 H20 0.050116194042
O3 H20 8.0716986348e-06
O4 H20 0.0011899052031
O5 H20 0.00020626917162
O6 H20 0.019796310229
N7 H20 1.9305498902e-05
N8 H20 0.010825972607
C9 H20 5.5748259746e-05
C10 H20 0.03327440768
C11 H20 0.00046326568276
C12 H20 0.92756432815
C13 H20 2.4155372768e-05
C14 H20 0.0041560669695
H15 H20 2.0612087389e-05
H16 H20 0.0095924595216
H17 H20 0.00049195296991
H18 H20 0.00010527603894
H19 H20 0.031823183675
S1 H21 0.0033828301357
S2 H21 0.00029060334005
O3 H21 0.019319474331
O4 H21 4.4344912533e-06
O5 H21 0.00064138098502
O6 H21 2.0623994284e-06
N7 H21 0.84667430757
N8 H21 4.1042711459e-06
C9 H21 0.020466584323
C10 H21 1.4863813054e-05
C11 H21 0.0086935260836
C12 H21 2.3900174284e-05
C13 H21 0.0023735394999
C14 H21 1.7230886029e-06
H15 H21 0.0015214293295
H16 H21 2.133086254e-05
H17 H21 0.00081288174304
H18 H21 0.00026753227695
H19 H21 3.1759611432e-06
H20 H21 1.7940006688e-06
S1 H22 0.00076414224091
S2 H22 0.00053829651516
O3 H22 0.0025987564529
O4 H22 2.0427538067e-06
O5 H22 0.0029113899721
O6 H22 1.3350658564e-06
N7 H22 0.87160026009
N8 H22 3.7474246862e-06
C9 H22 0.021766496894
C10 H22 1.0835653866e-05
C11 H22 0.0041347952047
C12 H22 2.5051071409e-05
C13 H22 0.0087056563986
C14 H22 1.7402987826e-06
H15 H22 0.0025693763816
H16 H22 1.4506854198e-06
H17 H22 0.004124370573
H18 H22 0.00025610215725
