Atom(A) Atom(B) Deloc_index
O1 O2 0.00011142993539
O1 O3 0.27931801623
O2 O3 5.0525317075e-05
O1 O4 0.00039501663368
O2 O4 0.28117269705
O3 O4 0.00036361750115
O1 N5 0.010801737446
O2 N5 0.00032787348054
O3 N5 0.05251941441
O4 N5 0.00097136278027
O1 C6 0.022530841926
O2 C6 0.0090947614222
O3 C6 0.011100697003
O4 C6 0.028761491093
N5 C6 0.064550874458
O1 C7 0.071706965075
O2 C7 0.0014534412703
O3 C7 0.083397185964
O4 C7 0.0028457454475
N5 C7 0.94344329853
C6 C7 0.92625671899
O1 C8 0.0087120394117
O2 C8 0.082773187084
O3 C8 0.003671241186
O4 C8 0.091150004172
N5 C8 0.020871932818
C6 C8 0.96418929239
C7 C8 0.041084183493
O1 C9 0.70935128084
O2 C9 0.00012647224524
O3 C9 1.086026207
O4 C9 0.00058138649584
N5 C9 0.059562934358
C6 C9 0.039348831001
C7 C9 0.85967275052
C8 C9 0.0081489826661
O1 C10 0.00063545837666
O2 C10 0.71067477007
O3 C10 0.00038453668042
O4 C10 1.0872705355
N5 C10 0.0017840333313
C6 C10 0.035848428236
C7 C10 0.0075252901893
C8 C10 0.8999384751
C9 C10 0.00084961649289
O1 H11 0.002375596911
O2 H11 0.00091719606606
O3 H11 0.0023796488301
O4 H11 0.020732168431
N5 H11 0.011479901544
C6 H11 0.93637885853
C7 H11 0.038639614909
C8 H11 0.038747697958
C9 H11 0.0078341536072
C10 H11 0.0037592663534
O1 H12 0.01915958945
O2 H12 0.00065682188741
O3 H12 0.00066340023891
O4 H12 0.0083108545179
N5 H12 0.010357894884
C6 H12 0.93966580429
C7 H12 0.037336314201
C8 H12 0.039320845714
C9 H12 0.0018901255952
C10 H12 0.0027373587488
H11 H12 0.035816827552
O1 H13 0.012080410771
O2 H13 0.00043473053173
O3 H13 0.014257722566
O4 H13 0.0001218573986
N5 H13 0.068095820262
C6 H13 0.036781862709
C7 H13 0.90609455577
C8 H13 0.0086275256412
C9 H13 0.050708225237
C10 H13 0.0013231148507
H11 H13 0.003248505876
H12 H13 0.004136824776
O1 H14 0.00055659064884
O2 H14 0.011810178695
O3 H14 0.00083947595859
O4 H14 0.013837522001
N5 H14 0.031091228462
C6 H14 0.031965656743
C7 H14 0.0040306405829
C8 H14 0.92122454254
C9 H14 0.00056496509686
C10 H14 0.046570407497
H11 H14 0.0020415016118
H12 H14 0.0092465758674
H13 H14 0.00055357619694
O1 H15 0.014948503043
O2 H15 0.015791379683
O3 H15 0.0041545078012
O4 H15 0.01324472529
N5 H15 0.00095050547453
C6 H15 0.034482990138
C7 H15 0.0028473689881
C8 H15 0.93294466762
C9 H15 0.0045011456856
C10 H15 0.045565600259
H11 H15 0.0097732210023
H12 H15 0.0032390714198
H13 H15 0.00027830309695
H14 H15 0.034482256194
O1 H16 0.00091775039667
O2 H16 7.2940007578e-06
O3 H16 0.02838408595
O4 H16 6.7601749599e-05
N5 H16 0.82501070832
C6 H16 0.0066386660071
C7 H16 0.018245822564
C8 H16 0.00037736395614
C9 H16 0.0036503103433
C10 H16 4.3454820024e-05
H11 H16 0.00059196050301
H12 H16 0.0015117712609
H13 H16 0.0010026740586
H14 H16 0.00048224021691
H15 H16 2.1094288142e-05
O1 H17 0.0013149394148
O2 H17 8.1289684601e-06
O3 H17 0.0025489101838
O4 H17 3.3505753059e-05
N5 H17 0.87840250319
C6 H17 0.0017763776424
C7 H17 0.020100167834
C8 H17 0.0004171171058
C9 H17 0.0064842513531
C10 H17 3.8614083544e-05
H11 H17 0.0014413072757
H12 H17 0.00024587993867
H13 H17 0.0036179690947
H14 H17 0.00053809257732
H15 H17 5.7657266812e-05
H16 H17 0.015280889828
O1 H18 0.58876037796
O2 H18 1.4852506118e-06
O3 H18 0.011924143201
O4 H18 3.5566606551e-06
N5 H18 0.0011733818562
C6 H18 0.00057947922362
C7 H18 0.0060161069806
C8 H18 7.2669049264e-05
C9 H18 0.0088317815394
C10 H18 2.6644667768e-06
H11 H18 3.8572169283e-05
H12 H18 0.00049987784089
H13 H18 0.00023647348283
H14 H18 4.4901540387e-06
H15 H18 8.5594314803e-05
H16 H18 4.0876660472e-05
H17 H18 0.00020639860156
O1 H19 4.6935992207e-06
O2 H19 0.59548419825
O3 H19 4.9188883272e-06
O4 H19 0.012478399125
N5 H19 2.3220523769e-05
C6 H19 0.0011477405217
C7 H19 0.00024427061983
C8 H19 0.0064039033829
C9 H19 1.6672270885e-05
C10 H19 0.0089006746452
H11 H19 3.1685181626e-05
H12 H19 2.2972568369e-05
H13 H19 7.936006598e-05
H14 H19 0.0002235014178
H15 H19 0.00036742789076
H16 H19 1.0020933674e-06
H17 H19 3.3794716241e-07
H18 H19 2.0324431288e-07
