Atom(A) Atom(B) Deloc_index
O1 O2 0.31635558192
O1 O3 0.00020943435179
O2 O3 0.00151956548
O1 N4 0.016571611396
O2 N4 0.0638862882
O3 N4 0.0020911465527
O1 N5 0.00010977113401
O2 N5 0.0003805689578
O3 N5 0.29728356237
N4 N5 0.00050713195147
O1 C6 0.024345406962
O2 C6 0.018539039179
O3 C6 0.04399473807
N4 C6 0.07379571861
N5 C6 0.010794717149
O1 C7 0.085103516002
O2 C7 0.097040638584
O3 C7 0.004357746112
N4 C7 1.0100951439
N5 C7 0.0020157306522
C6 C7 0.93422742554
O1 C8 0.0025615786295
O2 C8 0.013151125275
O3 C8 0.1141199081
N4 C8 0.023341475007
N5 C8 0.096270785067
C6 C8 0.98485420028
C7 C8 0.045977663379
O1 C9 0.88456300222
O2 C9 1.2783142649
O3 C9 0.00071821337305
N4 C9 0.073898996917
N5 C9 0.00028934569062
C6 C9 0.053377458224
C7 C9 0.87283707368
C8 C9 0.010274130795
O1 C10 0.00031117726459
O2 C10 0.0012285402511
O3 C10 1.2821816741
N4 C10 0.0021309731379
N5 C10 1.0320982671
C6 C10 0.036144449825
C7 C10 0.0096732706016
C8 C10 0.91109475503
C9 C10 0.0011695288883
O1 H11 0.020164267406
O2 H11 0.0011582702266
O3 H11 0.026063953716
N4 H11 0.012586820219
N5 H11 0.0012964029002
C6 H11 0.91653818442
C7 H11 0.035886851324
C8 H11 0.038485426029
C9 H11 0.0041877720808
C10 H11 0.004457649699
O1 H12 0.0029387174258
O2 H12 0.0041394730463
O3 H12 0.013114343169
N4 H12 0.015325278541
N5 H12 0.0010497578965
C6 H12 0.92355064634
C7 H12 0.038202450778
C8 H12 0.040288875605
C9 H12 0.0104973923
C10 H12 0.0039650360329
H11 H12 0.031267780071
O1 H13 0.018461217876
O2 H13 0.016096470413
O3 H13 0.00024454707056
N4 H13 0.054415558894
N5 H13 0.00063604060128
C6 H13 0.036327302829
C7 H13 0.89650998841
C8 H13 0.010527407734
C9 H13 0.040417256033
C10 H13 0.0014486075654
H11 H13 0.0030993399544
H12 H13 0.0049039215151
O1 H14 0.00048556623529
O2 H14 0.00086056916253
O3 H14 0.017633483404
N4 H14 0.024889495287
N5 H14 0.017604960336
C6 H14 0.036919374362
C7 H14 0.0035111388826
C8 H14 0.92038966315
C9 H14 0.00060383740244
C10 H14 0.039997778533
H11 H14 0.011692454976
H12 H14 0.0038782292335
H13 H14 0.00039689826236
O1 H15 0.0023669177127
O2 H15 0.022480549253
O3 H15 0.018034495498
N4 H15 0.0016448670686
N5 H15 0.016214489574
C6 H15 0.037267879273
C7 H15 0.0053930049605
C8 H15 0.91821254021
C9 H15 0.0078661507085
C10 H15 0.042875678277
H11 H15 0.0026131543938
H12 H15 0.012238493025
H13 H15 0.00038550510384
H14 H15 0.034659532649
O1 H16 0.001745398174
O2 H16 0.025767169532
O3 H16 0.00069696185499
N4 H16 0.83914802675
N5 H16 0.00011830042718
C6 H16 0.001847146731
C7 H16 0.023178082791
C8 H16 0.0057710009857
C9 H16 0.0046839846224
C10 H16 0.00074628271124
H11 H16 0.00033998570543
H12 H16 0.00028942975628
H13 H16 0.010040012961
H14 H16 0.0061723819665
H15 H16 0.00079588658426
O1 H17 0.00052625044813
O2 H17 0.00284202921
O3 H17 0.0005074766133
N4 H17 0.87098653984
N5 H17 4.6782871794e-05
C6 H17 0.009699378562
C7 H17 0.024571184148
C8 H17 0.0017434836299
C9 H17 0.0022189404705
C10 H17 0.00013972070088
H11 H17 0.0019856652624
H12 H17 0.0003570802418
H13 H17 0.0037811290526
H14 H17 0.0013792911777
H15 H17 8.2419146245e-05
H16 H17 0.016828772807
O1 H18 7.2101213744e-06
O2 H18 1.6299163161e-05
O3 H18 0.022167464694
N4 H18 5.0060679888e-05
N5 H18 0.81508604297
C6 H18 0.0010991937213
C7 H18 9.8832286272e-05
C8 H18 0.006490037901
C9 H18 1.1477854234e-05
C10 H18 0.01716362645
H11 H18 0.0002714921928
H12 H18 0.00010656596289
H13 H18 2.1445518154e-05
H14 H18 0.0031719648907
H15 H18 0.0013527988159
H16 H18 9.856951637e-06
H17 H18 6.0369234284e-06
O1 H19 1.9574799721e-05
O2 H19 2.5610631785e-05
O3 H19 0.016521933649
N4 H19 6.9229465168e-05
N5 H19 0.80240916896
C6 H19 0.0021307198821
C7 H19 0.00055642744717
C8 H19 0.011017440207
C9 H19 4.74280018e-05
C10 H19 0.018321019351
H11 H19 6.3085567917e-05
H12 H19 4.9389512888e-05
H13 H19 0.00018262049149
H14 H19 0.00061779832
H15 H19 0.00045847120804
H16 H19 1.5073147046e-05
H17 H19 5.0406844912e-06
H18 H19 0.016126847322
O1 H20 0.62914658915
O2 H20 0.020586412628
O3 H20 1.5852504417e-05
N4 H20 0.003497179034
N5 H20 3.1275400331e-06
C6 H20 0.00065390061246
C7 H20 0.0096530928257
C8 H20 7.9195209637e-05
C9 H20 0.012578561248
C10 H20 5.1713648898e-06
H11 H20 0.00035256406664
H12 H20 0.00013839929016
H13 H20 0.00050428958087
H14 H20 3.0953090999e-05
H15 H20 2.8234723596e-05
H16 H20 0.00011789187279
H17 H20 5.9669866934e-05
H18 H20 5.9279745091e-07
H19 H20 3.3471935956e-07
