Atom(A) Atom(B) Deloc_index
O1 O2 0.30412931284
O1 N3 0.016947099945
O2 N3 0.059298720978
O1 C4 0.089669343818
O2 C4 0.09903797425
N3 C4 1.0273000694
O1 C5 0.83795167553
O2 C5 1.2433838466
N3 C5 0.07178484985
C4 C5 0.8854758601
O1 H6 0.015593542387
O2 H6 0.017627606061
N3 H6 0.056954681355
C4 H6 0.91036760971
C5 H6 0.045740886015
O1 H7 0.015578123618
O2 H7 0.017633936192
N3 H7 0.056958426998
C4 H7 0.9103636191
C5 H7 0.0457701728
H6 H7 0.032899823996
O1 H8 0.00091193103283
O2 H8 0.0085834020966
N3 H8 0.86387057207
C4 H8 0.024116412885
C5 H8 0.0029810863051
H6 H8 0.0020297892412
H7 H8 0.010802075279
O1 H9 0.00091398310154
O2 H9 0.0086368298843
N3 H9 0.86378157339
C4 H9 0.024110621181
C5 H9 0.002985596863
H6 H9 0.010800895674
H7 H9 0.0020244068498
H8 H9 0.017260301642
O1 H10 0.62088723279
O2 H10 0.017579114369
N3 H10 0.0029593763859
C4 H10 0.0085583543235
C5 H10 0.011435138078
H6 H10 0.00038027035315
H7 H10 0.00037963272134
H8 H10 5.3440606095e-05
H9 H10 5.3531847763e-05
