Atom(A) Atom(B) Deloc_index
O1 O2 0.31221513139
O1 N3 0.002945220955
O2 N3 0.049219446311
O1 N4 0.034780645929
O2 N4 0.029072841518
N3 N4 0.0023661727509
O1 N5 0.00027646004465
O2 N5 0.0029379635326
N3 N5 0.23714932727
N4 N5 0.0013319692725
O1 C6 0.0092121231397
O2 C6 0.031007286652
N3 C6 0.063203449095
N4 C6 0.084735079837
N5 C6 0.01490220456
O1 C7 0.082829746907
O2 C7 0.095018820889
N3 C7 0.0087281821089
N4 C7 0.99412958639
N5 C7 0.0036717667111
C6 C7 0.93620212179
O1 C8 0.0011699983774
O2 C8 0.0063486271536
N3 C8 1.0808569676
N4 C8 0.017397698049
N5 C8 0.13255930093
C6 C8 1.0030066398
C7 C8 0.049402918102
O1 C9 0.87431658204
O2 C9 1.2315651799
N3 C9 0.010027054715
N4 C9 0.085457985675
N5 C9 0.00095421299136
C6 C9 0.039594537844
C7 C9 0.85949209695
C8 C9 0.0071332949941
O1 C10 0.00032843612742
O2 C10 0.0010088654098
N3 C10 0.15405280145
N4 C10 0.0039091073404
N5 C10 1.2318551435
C6 C10 0.047837213504
C7 C10 0.015608316223
C8 C10 1.4255072661
C9 C10 0.00079277789275
O1 C11 0.00025010806742
O2 C11 0.0019505779368
N3 C11 1.0824394743
N4 C11 0.0014449915195
N5 C11 1.3884660427
C6 C11 0.01174341919
C7 C11 0.0050767435286
C8 C11 0.11483775608
C9 C11 0.00046311750224
C10 C11 0.075895501051
O1 H12 0.0013390057439
O2 H12 0.022307061963
N3 H12 0.010119237202
N4 H12 0.013398061076
N5 H12 0.0037012121298
C6 H12 0.91911926555
C7 H12 0.037665066284
C8 H12 0.041147200146
C9 H12 0.003696140774
C10 H12 0.012193153627
C11 H12 0.0029436963963
O1 H13 0.0019795568772
O2 H13 0.0036216517459
N3 H13 0.010459817051
N4 H13 0.016071806042
N5 H13 0.0015187048093
C6 H13 0.9305372775
C7 H13 0.039140924464
C8 H13 0.043110100769
C9 H13 0.0096888257324
C10 H13 0.0099634024329
C11 H13 0.0018748773205
H12 H13 0.033838902926
O1 H14 0.020628515014
O2 H14 0.01330095711
N3 H14 0.00088030372294
N4 H14 0.05340521129
N5 H14 0.00044695064023
C6 H14 0.035250332343
C7 H14 0.89639925751
C8 H14 0.0095816947518
C9 H14 0.035162294518
C10 H14 0.0039102481459
C11 H14 0.00096585890319
H12 H14 0.010921492668
H13 H14 0.0032734486455
O1 H15 0.0013838579261
O2 H15 0.036570742048
N3 H15 0.73744966512
N4 H15 0.00017142018029
N5 H15 0.01400823926
C6 H15 0.0018828163731
C7 H15 0.00024453414653
C8 H15 0.016730101372
C9 H15 0.0024070554046
C10 H15 0.0077194181866
C11 H15 0.014812488801
H12 H15 0.00065156735922
H13 H15 0.00010613280271
H14 H15 4.4071877027e-05
O1 H16 2.4137032087e-05
O2 H16 0.00011729537169
N3 H16 0.014330042387
N4 H16 0.00017329717059
N5 H16 0.05671570643
C6 H16 0.0039247195864
C7 H16 0.00065333479868
C8 H16 0.049760839271
C9 H16 7.3268351024e-05
C10 H16 0.94574566467
C11 H16 0.010456969641
H12 H16 0.00052789114572
H13 H16 0.0034438811192
H14 H16 0.00024543308881
H15 H16 0.0014379944002
O1 H17 0.00179575535
O2 H17 0.0043111922459
N3 H17 0.00013385674168
N4 H17 0.86220830032
N5 H17 3.5169791414e-05
C6 H17 0.0035037217614
C7 H17 0.023125170999
C8 H17 0.00036446355218
C9 H17 0.0099030907237
C10 H17 0.00011721559163
C11 H17 5.0071812363e-05
H12 H17 0.00033351266446
H13 H17 0.0026454876554
H14 H17 0.0032595018899
H15 H17 1.9673799408e-05
H16 H17 7.7095034354e-06
O1 H18 0.00099803236551
O2 H18 0.0039623674644
N3 H18 0.00012028574224
N4 H18 0.86078137745
N5 H18 0.00013106563896
C6 H18 0.0073219150075
C7 H18 0.023992788373
C8 H18 0.00077231558894
C9 H18 0.0026109406183
C10 H18 0.00034702805718
C11 H18 0.00011809797467
H12 H18 0.0052450001955
H13 H18 0.00051806472251
H14 H18 0.010484150293
H15 H18 6.196319173e-06
H16 H18 1.4921328419e-05
H17 H18 0.017556812978
O1 H19 1.376838181e-05
O2 H19 5.6790678619e-05
N3 H19 0.060857137087
N4 H19 0.00014900693517
N5 H19 0.063173903021
C6 H19 0.0017743075837
C7 H19 0.00036619353286
C8 H19 0.013313259199
C9 H19 3.0397728827e-05
C10 H19 0.013731107419
C11 H19 0.91758176641
H12 H19 0.00026723496692
H13 H19 0.00058952595346
H14 H19 5.9411642613e-05
H15 H19 0.00096761728186
H16 H19 0.0016901764781
H17 H19 7.4169291635e-06
H18 H19 7.9807882084e-06
O1 H20 0.62222384873
O2 H20 0.018566281617
N3 H20 5.2230126072e-05
N4 H20 0.0008242837758
N5 H20 1.5606263674e-05
C6 H20 0.0016782668559
C7 H20 0.0096578866586
C8 H20 6.9668478506e-05
C9 H20 0.011757509156
C10 H20 5.9313016431e-05
C11 H20 3.4372669271e-05
H12 H20 7.8960995279e-05
H13 H20 0.00044029181493
H14 H20 0.00065336520223
H15 H20 1.9427582661e-05
H16 H20 4.393863393e-06
H17 H20 0.00018337821972
H18 H20 1.3317485271e-05
H19 H20 2.5339107159e-06
