Atom(A) Atom(B) Deloc_index
O1 O2 0.32274964131
O1 N3 0.01736797234
O2 N3 0.06799268221
O1 C4 0.027178641502
O2 C4 0.018008392644
N3 C4 0.064628319695
O1 C5 0.085322052117
O2 C5 0.09819152881
N3 C5 1.0161362833
C4 C5 0.91305821215
O1 C6 0.0042638457032
O2 C6 0.011225392338
N3 C6 0.021808619157
C4 C6 0.96766673529
C5 C6 0.045361085198
O1 C7 0.0031817186195
O2 C7 0.0042250205018
N3 C7 0.029586353934
C4 C7 0.98478123042
C5 C7 0.04807864843
C6 C7 0.048352762331
O1 C8 0.00047343960893
O2 C8 0.0012861379668
N3 C8 0.0028650645
C4 C8 0.048047545565
C5 C8 0.011298264322
C6 C8 1.0044309084
C7 C8 0.014582764405
O1 C9 0.90047766336
O2 C9 1.3038794692
N3 C9 0.074988200741
C4 C9 0.04880281796
C5 C9 0.87480874421
C6 C9 0.011992980237
C7 C9 0.0096769399026
C8 C9 0.0015182670403
O1 H10 0.02938734586
O2 H10 0.0014071747028
N3 H10 0.011868260784
C4 H10 0.90354272667
C5 H10 0.03826895479
C6 H10 0.038749060024
C7 H10 0.040117108603
C8 H10 0.010202197321
C9 H10 0.0045959798307
O1 H11 0.017449878692
O2 H11 0.017368581042
N3 H11 0.054982363114
C4 H11 0.033875386429
C5 H11 0.88596902026
C6 H11 0.010362321227
C7 H11 0.012074433121
C8 H11 0.0020564061008
C9 H11 0.042889838248
H10 H11 0.003248912497
O1 H12 0.0051527896195
O2 H12 0.020839132268
N3 H12 0.0019837892645
C4 H12 0.039621952268
C5 H12 0.0073027962189
C6 H12 0.92445999768
C7 H12 0.01202672249
C8 H12 0.042686595841
C9 H12 0.01226271835
H10 H12 0.0027227296053
H11 H12 0.00045586285153
O1 H13 0.00077046616653
O2 H13 0.00077091896125
N3 H13 0.023099594937
C4 H13 0.03962871288
C5 H13 0.0036774459852
C6 H13 0.92276534035
C7 H13 0.0092514483744
C8 H13 0.042303637931
C9 H13 0.00071708164514
H10 H13 0.012588810203
H11 H13 0.00040393656136
H12 H13 0.035926192927
O1 H14 0.00021034999175
O2 H14 0.00065357524837
N3 H14 0.0024193314471
C4 H14 0.041104275358
C5 H14 0.010367410802
