Atom(A) Atom(B) Deloc_index
O1 O2 0.31552985059
O1 N3 0.014261835968
O2 N3 0.052448619698
O1 C4 0.001763367002
O2 C4 0.0019493975645
N3 C4 0.018738577329
O1 C5 0.009520496548
O2 C5 0.025807362592
N3 C5 0.088559930629
C4 C5 0.96652408939
O1 C6 0.085659732345
O2 C6 0.097046805848
N3 C6 1.0004623529
C4 C6 0.037889118485
C5 C6 0.94014096655
O1 C7 0.0060583971095
O2 C7 0.00084029762851
N3 C7 0.0018827002907
C4 C7 0.98392266612
C5 C7 0.04938425286
C6 C7 0.014252835076
O1 C8 0.016232219622
O2 C8 0.01453875581
N3 C8 0.0011846693839
C4 C8 0.98406213203
C5 C8 0.048227522761
C6 C8 0.00444716102
C7 C8 0.054968852637
O1 C9 0.88122219317
O2 C9 1.2762211655
N3 C9 0.07823601042
C4 C9 0.0040586578024
C5 C9 0.046977078893
C6 C9 0.86766366486
C7 C9 0.00093622508927
C8 C9 0.0092256566397
O1 H10 0.00083686539887
O2 H10 0.0003252075192
N3 H10 0.0029281293311
C4 H10 0.9216137167
C5 H10 0.044934726812
C6 H10 0.0108543505
C7 H10 0.043411423082
C8 H10 0.043740938896
C9 H10 0.00065223211411
O1 H11 0.0013983738098
O2 H11 0.016693085017
N3 H11 0.015428718815
C4 H11 0.036582564218
C5 H11 0.9223694584
C6 H11 0.039575703278
C7 H11 0.01124087176
C8 H11 0.010157065097
C9 H11 0.0049674589623
H10 H11 0.0030415064508
O1 H12 0.0019268995984
O2 H12 0.0044614448295
N3 H12 0.019122484974
C4 H12 0.039195781274
C5 H12 0.92890415869
C6 H12 0.042282551874
C7 H12 0.0068600437601
C8 H12 0.011221429982
C9 H12 0.010933536991
H10 H12 0.0067804772123
H11 H12 0.035429343174
O1 H13 0.023156060198
O2 H13 0.012603223573
N3 H13 0.055459882156
C4 H13 0.0032381319753
C5 H13 0.034795837261
C6 H13 0.89048817983
C7 H13 0.015344957649
C8 H13 0.00037127086955
C9 H13 0.032155791484
H10 H13 0.000320944219
H11 H13 0.011401613453
H12 H13 0.0033888901532
O1 H14 0.014060265506
O2 H14 0.00065726999893
N3 H14 0.0011117002878
C4 H14 0.039463724237
C5 H14 0.0038376904907
C6 H14 0.0083093770647
C7 H14 0.94064264673
C8 H14 0.0090597751287
C9 H14 0.0008636801945
H10 H14 0.012978518475
H11 H14 0.00047626563916
H12 H14 0.00046408369397
H13 H14 0.013002041124
O1 H15 0.00046119958671
O2 H15 0.00031854369275
N3 H15 0.00026388403511
C4 H15 0.039961258744
C5 H15 0.0093628790642
C6 H15 0.0023105456602
C7 H15 0.95632787544
C8 H15 0.012952407479
C9 H15 0.00025579512631
H10 H15 0.0030771049964
H11 H15 0.00077676046819
H12 H15 0.0061595565857
H13 H15 0.003722599456
H14 H15 0.037916350821
O1 H16 0.00044923319911
O2 H16 0.00015294410846
N3 H16 0.00050638667312
C4 H16 0.040352391023
C5 H16 0.012277853206
C6 H16 0.0018654780341
C7 H16 0.95633341337
C8 H16 0.0084623009276
C9 H16 9.3677198339e-05
H10 H16 0.0048523406693
H11 H16 0.002463465693
H12 H16 0.00058127287679
H13 H16 0.0020291234677
H14 H16 0.037390586696
H15 H16 0.038183784745
O1 H17 0.0011631595009
O2 H17 0.0075204207431
N3 H17 0.00015754724466
C4 H17 0.039125739102
C5 H17 0.0093958571097
C6 H17 0.00049872905034
C7 H17 0.012506524306
C8 H17 0.95187065944
C9 H17 0.0010233534601
H10 H17 0.0028624219027
H11 H17 0.0081866182681
H12 H17 0.00068259003676
H13 H17 0.0001844055012
H14 H17 0.0008432692299
H15 H17 0.0035874805691
H16 H17 0.00088103579053
O1 H18 0.032984601008
O2 H18 0.011792094522
N3 H18 0.00023262419365
C4 H18 0.039739429485
C5 H18 0.0031921436119
C6 H18 0.0013580347562
C7 H18 0.009635053344
C8 H18 0.93443081459
C9 H18 0.01052441117
H10 H18 0.012816560008
H11 H18 0.0004056913474
H12 H18 0.00046322670128
H13 H18 0.00011141841867
H14 H18 0.0063514242538
H15 H18 0.00094196306423
H16 H18 0.00055717058911
H17 H18 0.036806445541
O1 H19 0.0014009446154
O2 H19 0.0021401166288
N3 H19 0.0005090763327
C4 H19 0.041000279006
C5 H19 0.012185575841
C6 H19 0.00068393829569
C7 H19 0.0079615280553
C8 H19 0.95692493899
C9 H19 0.0010898413685
H10 H19 0.0055391864859
H11 H19 0.00078550732419
H12 H19 0.0024261804534
H13 H19 5.5031462522e-05
H14 H19 0.00050308906427
H15 H19 0.00081740478673
H16 H19 0.0062054898922
H17 H19 0.037254250875
H18 H19 0.037292752804
O1 H20 0.0018039247978
O2 H20 0.0047001087794
N3 H20 0.86915292673
C4 H20 0.00062509688812
C5 H20 0.0076040899953
C6 H20 0.023735930134
C7 H20 6.5972828255e-05
