Atom(A) Atom(B) Deloc_index
O1 O2 0.29499265044
O1 N3 0.014030314479
O2 N3 0.05762889643
O1 N4 2.8417335152e-05
O2 N4 7.3024845798e-05
N3 N4 6.9059588413e-05
O1 C5 0.0023266963714
O2 C5 0.0035802743192
N3 C5 0.022264084166
N4 C5 0.012485451797
O1 C6 0.02042239679
O2 C6 0.017449163992
N3 C6 0.065755050914
N4 C6 0.0020587162377
C5 C6 0.97162386412
O1 C7 0.00025096342003
O2 C7 0.00080393662706
N3 C7 0.0022817539067
N4 C7 0.075388721024
C5 C7 0.97569255311
C6 C7 0.047468289447
O1 C8 0.077866678617
O2 C8 0.090606665051
N3 C8 0.97994760142
N4 C8 0.00044327328752
C5 C8 0.040184780778
C6 C8 0.92899329499
C7 C8 0.0095909088942
O1 C9 8.7019923149e-05
O2 C9 0.00022183347782
N3 C9 0.00015817768089
N4 C9 0.97274739067
C5 C9 0.04463947399
C6 C9 0.0097523735733
C7 C9 0.9560971427
C8 C9 0.0017579127769
O1 C10 0.79150922821
O2 C10 1.1881606442
N3 C10 0.070957277816
N4 C10 0.00014502174923
C5 C10 0.0089990338279
C6 C10 0.05149442933
C7 C10 0.0017196150656
C8 C10 0.86481759594
C9 C10 0.00046296537627
O1 H11 0.00051268747898
O2 H11 0.00022057769768
N3 H11 0.032034994104
N4 H11 0.0018032714596
C5 H11 0.92978519239
C6 H11 0.038845353876
C7 H11 0.03750086767
C8 H11 0.003941085686
C9 H11 0.0071245543221
C10 H11 0.00051007545902
O1 H12 0.0001270132826
O2 H12 0.00050059930411
N3 H12 0.0015452065511
N4 H12 0.0011119859577
C5 H12 0.9400371135
C6 H12 0.042518878661
C7 H12 0.040382420577
C8 H12 0.0071882593574
C9 H12 0.007606057025
C10 H12 0.00063560303145
H11 H12 0.03784565677
O1 H13 0.0012478871623
O2 H13 0.0049431700212
N3 H13 0.012136903269
N4 H13 8.0565566454e-05
C5 H13 0.038068817018
C6 H13 0.93637551236
C7 H13 0.0082198832121
C8 H13 0.040833014557
C9 H13 0.00090924409136
C10 H13 0.0051622781895
H11 H13 0.0029625245315
H12 H13 0.011747118715
O1 H14 0.022184544955
O2 H14 0.0010972642915
N3 H14 0.010984738464
N4 H14 9.9962962291e-05
C5 H14 0.037158385849
C6 H14 0.93514621456
C7 H14 0.0074077642765
C8 H14 0.038219653519
C9 H14 0.00079378461141
C10 H14 0.0050247515612
H11 H14 0.010665989199
H12 H14 0.0036817834342
H13 H14 0.037293616385
O1 H15 3.3828587008e-05
O2 H15 2.3177508679e-05
N3 H15 0.00077858202921
N4 H15 0.018174373608
C5 H15 0.038925066472
C6 H15 0.0078418402225
C7 H15 0.93789598933
C8 H15 0.00066600897591
C9 H15 0.038873031533
C10 H15 4.4878193093e-05
H11 H15 0.011002174358
H12 H15 0.0033609482872
H13 H15 0.00055529925922
H14 H15 0.0064337005494
O1 H16 2.433324092e-05
O2 H16 3.5990398829e-05
N3 H16 0.0001549144656
N4 H16 0.011873154316
C5 H16 0.040848409144
C6 H16 0.0081032973858
C7 H16 0.93961139533
C8 H16 0.00082839437142
C9 H16 0.040767382368
C10 H16 5.7990289732e-05
H11 H16 0.0033775794194
H12 H16 0.012048451443
H13 H16 0.0074168895739
H14 H16 0.0005093127824
H15 H16 0.039334617977
O1 H17 0.01713368497
O2 H17 0.013476965969
N3 H17 0.055724717497
N4 H17 3.1735558081e-05
C5 H17 0.0087793007254
C6 H17 0.033922160419
C7 H17 0.00095622795951
C8 H17 0.90132704336
C9 H17 7.0174674897e-05
C10 H17 0.041242552252
H11 H17 0.0004294780238
H12 H17 0.0070796554992
H13 H17 0.010533873357
H14 H17 0.0022625312255
H15 H17 4.8203933258e-05
H16 H17 0.00041282809765
O1 H18 1.262448581e-05
O2 H18 6.9618554568e-06
N3 H18 5.573505494e-05
N4 H18 0.076116035362
C5 H18 0.008655707965
C6 H18 0.0010301825062
C7 H18 0.041718798864
C8 H18 4.7953620004e-05
C9 H18 0.92546304625
C10 H18 1.8394090074e-05
H11 H18 0.0077322593377
H12 H18 0.00064356925531
H13 H18 5.9299083117e-05
H14 H18 0.00043904186495
H15 H18 0.011903281194
H16 H18 0.003741283661
H17 H18 6.2662128261e-06
O1 H19 3.7007369737e-06
O2 H19 8.5410685294e-06
N3 H19 1.9048459775e-05
N4 H19 0.061940328664
C5 H19 0.0074867628305
C6 H19 0.00087076210853
C7 H19 0.039274803808
C8 H19 4.8431251203e-05
C9 H19 0.92473737987
C10 H19 1.3560332882e-05
H11 H19 0.00052069664658
H12 H19 0.0069869113303
H13 H19 0.00042493760524
H14 H19 5.5440757322e-05
H15 H19 0.0038261469685
H16 H19 0.011835509693
H17 H19 1.9995593666e-05
H18 H19 0.039387950646
O1 H20 0.0010309093312
O2 H20 0.016121574589
N3 H20 0.85307294833
N4 H20 1.6725109501e-06
C5 H20 0.00041804917205
C6 H20 0.0036639391244
C7 H20 4.1047227478e-05
C8 H20 0.021802842659
C9 H20 4.7845979655e-06
C10 H20 0.0031834390151
H11 H20 0.00044410445819
H12 H20 0.00016701161161
H13 H20 0.0036008234759
H14 H20 0.00033573428639
H15 H20 1.2534496864e-05
H16 H20 1.2781675687e-05
H17 H20 0.010000688747
H18 H20 1.0255550812e-06
H19 H20 1.393768607e-06
O1 H21 0.00041893176272
O2 H21 0.0041368249241
N3 H21 0.87335108484
N4 H21 4.2000637097e-06
C5 H21 0.00067846481005
C6 H21 0.009327218656
C7 H21 0.00010227524725
C8 H21 0.022625137807
C9 H21 2.2551184133e-05
C10 H21 0.0023960110198
H11 H21 0.00081740217536
H12 H21 5.5687087252e-05
H13 H21 0.00076183338016
H14 H21 0.0020893533187
H15 H21 7.9169507066e-05
H16 H21 8.8529985359e-06
H17 H21 0.0024311876623
H18 H21 2.9832094906e-06
H19 H21 8.0823112828e-07
H20 H21 0.016869080085
O1 H22 7.3288234874e-07
O2 H22 1.6067352184e-06
N3 H22 2.5868988791e-06
N4 H22 0.88556317103
C5 H22 0.0005989590008
C6 H22 3.8377690765e-05
C7 H22 0.0048538860385
C8 H22 9.1216946711e-06
C9 H22 0.022887802327
C10 H22 2.1432993858e-06
H11 H22 5.0984780521e-05
H12 H22 0.0003142646879
H13 H22 1.7304263133e-05
H14 H22 3.7923089208e-06
H15 H22 0.0003876097923
H16 H22 0.004602871541
H17 H22 3.0894690738e-06
H18 H22 0.0023715223235
H19 H22 0.010845270389
H20 H22 9.1248203917e-08
H21 H22 1.8013903403e-07
O1 H23 6.1233899011e-06
O2 H23 2.078115456e-05
N3 H23 1.0379839265e-05
N4 H23 0.88638395862
C5 H23 0.0020684800467
C6 H23 0.00039511948277
C7 H23 0.0096304587767
C8 H23 0.00013301606051
C9 H23 0.02242888218
C10 H23 3.8610834103e-05
H11 H23 5.9655006587e-05
H12 H23 4.2631394686e-05
H13 H23 1.3145997865e-05
H14 H23 1.2629967623e-05
H15 H23 0.00061383107181
H16 H23 0.00068263928079
H17 H23 6.1005987364e-06
H18 H23 0.0020352782895
H19 H23 0.0021616255665
H20 H23 2.5712037273e-07
H21 H23 9.539725948e-07
H22 H23 0.018254810476
O1 H24 0.61204611157
O2 H24 0.015531570227
N3 H24 0.0023428396512
N4 H24 1.9940575796e-06
C5 H24 7.1831464709e-05
C6 H24 0.00045727495092
C7 H24 2.1336638092e-05
C8 H24 0.007524779416
C9 H24 5.7402862048e-06
C10 H24 0.010578553375
H11 H24 2.6119292998e-05
H12 H24 4.1002363463e-06
H13 H24 5.0650573241e-05
H14 H24 0.00034538707319
H15 H24 9.7160929882e-07
H16 H24 4.8957341635e-07
H17 H24 0.00044559461127
H18 H24 2.5292936563e-07
H19 H24 2.7040100075e-07
H20 H24 5.3773699454e-05
H21 H24 4.1265607033e-05
H22 H24 4.8202010408e-08
H23 H24 5.8350660212e-07
