Atom(A) Atom(B) Deloc_index
S1 O2 0.0020465838135
S1 O3 0.0014711536672
O2 O3 0.29403139523
S1 N4 0.003645299513
O2 N4 0.011895268559
O3 N4 0.059273632586
S1 C5 0.069688301067
O2 C5 0.024038967969
O3 C5 0.013413775072
N4 C5 0.0747515982
S1 C6 0.022762093141
O2 C6 0.076656233627
O3 C6 0.091498234416
N4 C6 0.98307131625
C5 C6 0.93088701533
S1 C7 1.0790399965
O2 C7 0.019926827982
O3 C7 0.0010443235711
N4 C7 0.010862163932
C5 C7 0.97873849189
C6 C7 0.04172088242
S1 C8 0.0025491926492
O2 C8 0.78786442992
O3 C8 1.1888048884
N4 C8 0.061497072044
C5 C8 0.041474499688
C6 C8 0.87588963295
C7 C8 0.0020123909558
S1 C9 1.1098111913
O2 C9 0.00051654181042
O3 C9 0.00012143121254
N4 C9 0.000224288091
C5 C9 0.0072610760799
C6 C9 0.00097451095955
C7 C9 0.044217115081
C8 C9 0.00020271921263
S1 H10 0.0103175997
O2 H10 0.0026705684349
O3 H10 0.0025677404627
N4 H10 0.026906949441
C5 H10 0.92481157038
C6 H10 0.03715313013
C7 H10 0.039375791964
C8 H10 0.0071335323042
C9 H10 0.01082757383
S1 H11 0.018052504425
O2 H11 0.012836144258
O3 H11 0.0016586810081
N4 H11 0.0068263389068
C5 H11 0.93616576336
C6 H11 0.03863234639
C7 H11 0.040157842982
C8 H11 0.0078552940787
C9 H11 0.00072695570408
H10 H11 0.035776965559
S1 H12 0.043735687614
O2 H12 0.010606257853
O3 H12 0.016194840567
N4 H12 0.065861803383
C5 H12 0.034250892925
C6 H12 0.8820137947
C7 H12 0.010340230741
C8 H12 0.049215902357
C9 H12 0.001328896851
H10 H12 0.0014438398734
H11 H12 0.0090660095861
S1 H13 0.052060464724
O2 H13 0.033927848418
O3 H13 0.0010377802826
N4 H13 0.00090068803358
C5 H13 0.034322218069
C6 H13 0.0043871384247
C7 H13 0.92730322383
C8 H13 0.00066454905994
C9 H13 0.0098915924497
H10 H13 0.010459436913
H11 H13 0.0017586205772
H12 H13 0.0016145204501
S1 H14 0.063518850323
O2 H14 0.0011396111555
O3 H14 0.00025532142082
N4 H14 0.0017923340534
C5 H14 0.038648854698
C6 H14 0.0096322108731
C7 H14 0.94108808611
C8 H14 0.00038599118983
C9 H14 0.0096104234189
H10 H14 0.0023512823303
H11 H14 0.0044251149157
H12 H14 0.0010360037111
H13 H14 0.032539516651
S1 H15 0.00015694676796
O2 H15 0.0011912363217
O3 H15 0.032078200658
N4 H15 0.82633198582
C5 H15 0.0079145112735
C6 H15 0.019963428987
C7 H15 0.0016532042096
C8 H15 0.0039327203812
C9 H15 7.6037334276e-06
H10 H15 0.0012518117622
H11 H15 0.00026025638824
H12 H15 0.001008598525
H13 H15 4.6565164402e-05
H14 H15 0.00040999141411
S1 H16 0.0011366758114
O2 H16 0.0015668166656
O3 H16 0.0030469062361
N4 H16 0.87766075394
C5 H16 0.0022842843827
C6 H16 0.022222579052
C7 H16 0.00027934053997
C8 H16 0.0075317160026
C9 H16 0.00019468813009
H10 H16 0.0022766675832
H11 H16 0.00026360146118
H12 H16 0.0037432018785
H13 H16 5.2409638856e-05
H14 H16 4.6665952702e-05
H15 H16 0.015624673785
S1 H17 0.064525680416
O2 H17 7.0230944762e-05
O3 H17 8.3378047492e-05
N4 H17 0.00039566047595
C5 H17 0.007903739281
C6 H17 0.00055253351693
C7 H17 0.0032704301762
C8 H17 0.00019139980837
C9 H17 0.95361882162
H10 H17 0.015201377683
H11 H17 0.00074539851761
H12 H17 0.00019424398298
H13 H17 0.00050763921089
H14 H17 0.00037041118596
H15 H17 1.5962541289e-05
H16 H17 0.00023518748375
S1 H18 0.053057647359
O2 H18 0.00014640850828
O3 H18 1.6430109143e-05
N4 H18 1.898967762e-05
C5 H18 0.0010087600882
C6 H18 8.1329163019e-05
C7 H18 0.011333681053
C8 H18 2.253858176e-05
C9 H18 0.96062767664
H10 H18 0.0012623253369
H11 H18 0.00017211924593
H12 H18 5.3138455267e-05
H13 H18 0.0019790158571
H14 H18 0.00093272559915
H15 H18 7.4963626517e-07
H16 H18 1.301165535e-05
H17 H18 0.035197042068
S1 H19 0.064778144864
O2 H19 3.9167359164e-05
O3 H19 3.3471218002e-05
N4 H19 7.6831971737e-05
C5 H19 0.00052265161328
C6 H19 0.0003463421887
C7 H19 0.0072731896486
C8 H19 4.679104462e-05
C9 H19 0.95585637069
H10 H19 0.00053094268307
H11 H19 5.3216910933e-05
H12 H19 0.00056320626012
H13 H19 0.00061124929771
H14 H19 0.0071622067204
H15 H19 6.450336599e-06
H16 H19 2.9439676482e-05
H17 H19 0.036509127806
H18 H19 0.035015879013
S1 H20 8.1921245608e-05
O2 H20 0.60777575594
O3 H20 0.015858576613
N4 H20 0.0014279512431
C5 H20 0.0005564815697
C6 H20 0.0075609460847
C7 H20 0.00051977956533
C8 H20 0.010295110663
C9 H20 1.7134243442e-05
H10 H20 3.7209467199e-05
H11 H20 0.00014746925931
H12 H20 0.00024704681553
H13 H20 0.00067086406867
H14 H20 4.5809592387e-05
H15 H20 5.5442826532e-05
H16 H20 0.00029351414321
H17 H20 1.646564234e-06
H18 H20 5.9230827311e-06
H19 H20 2.108135575e-06
