Atom(A) Atom(B) Deloc_index
O1 O2 0.30581932679
O1 N3 0.011345141579
O2 N3 0.049810978299
O1 C4 0.0099999397084
O2 C4 0.025218965633
N3 C4 0.083898027698
O1 C5 0.083778928382
O2 C5 0.094631388966
N3 C5 0.99435423238
C4 C5 0.92065884764
O1 C6 0.018649942804
O2 C6 0.0043805363863
N3 C6 0.016991290943
C4 C6 1.00023094
C5 C6 0.045920214092
O1 C7 0.017575648834
O2 C7 0.010752381773
N3 C7 0.0030766425868
C4 C7 0.053309316024
C5 C7 0.011385609694
C6 C7 1.3532292019
O1 C8 0.0057819046954
O2 C8 0.00071990208759
N3 C8 0.0033333541638
C4 C8 0.053380307188
C5 C8 0.013661861311
C6 C8 1.3534135603
C7 C8 0.071857912576
O1 C9 0.84556609862
O2 C9 1.223896559
N3 C9 0.068923551747
C4 C9 0.049949012492
C5 C9 0.86351494529
C6 C9 0.010535603322
C7 C9 0.0067210310923
C8 C9 0.001285858045
O1 C10 0.0037148685678
O2 C10 0.0013120816536
N3 C10 0.0006246931081
C4 C10 0.0091060571442
C5 C10 0.001517137051
C6 C10 0.071651196372
C7 C10 1.3907446675
C8 C10 0.10165029603
C9 C10 0.00061995804884
O1 C11 0.0016461024547
O2 C11 0.00074130114294
N3 C11 0.00051830538019
C4 C11 0.0092839344587
C5 C11 0.0014034025346
C6 C11 0.071481419112
C7 C11 0.10053877136
C8 C11 1.3966708051
C9 C11 0.00050842075163
C10 C11 0.075198594216
O1 C12 0.0012219140796
O2 C12 0.00034785464333
N3 C12 0.0015596075805
C4 C12 0.0054081647894
C5 C12 0.0050356899658
C6 C12 0.096796824478
C7 C12 0.073758985393
C8 C12 0.074003750962
C9 C12 0.00053818454658
C10 C12 1.3929943463
C11 C12 1.3888170529
O1 H13 0.0012479685548
O2 H13 0.013960082318
N3 H13 0.015540866699
C4 H13 0.92647625547
C5 H13 0.037071020255
C6 H13 0.038207268068
C7 H13 0.012706292148
C8 H13 0.0089025010014
C9 H13 0.0047401423853
C10 H13 0.0010479463153
C11 H13 0.0016902113158
C12 H13 0.0011916744568
O1 H14 0.0015877272501
O2 H14 0.0043507014593
N3 H14 0.013428484487
C4 H14 0.93267033106
C5 H14 0.039131270707
C6 H14 0.040301291779
C7 H14 0.0098603286179
C8 H14 0.012401509984
C9 H14 0.0098322804756
C10 H14 0.001735165664
C11 H14 0.0011142018036
C12 H14 0.0021882071672
H13 H14 0.034764747579
O1 H15 0.022517414136
O2 H15 0.012088233293
N3 H15 0.056225868136
C4 H15 0.036074847424
C5 H15 0.89991148375
C6 H15 0.006407442151
C7 H15 0.00059514405883
C8 H15 0.0073900170999
C9 H15 0.03252326741
C10 H15 0.00059472456771
C11 H15 0.00089586514895
C12 H15 0.00043457271105
H13 H15 0.010428599068
H14 H15 0.0037966344057
O1 H16 0.0010736276451
O2 H16 0.011862445334
N3 H16 0.00029163185929
C4 H16 0.010581247792
C5 H16 0.00072055673194
C6 H16 0.044785272593
C7 H16 0.94780049571
C8 H16 0.009170366722
C9 H16 0.001994402689
C10 H16 0.045962711106
C11 H16 0.0050776429421
C12 H16 0.0092166318428
H13 H16 0.0081130355148
H14 H16 0.0007899437494
H15 H16 0.00014675118312
O1 H17 0.00016522627
O2 H17 0.00020486125819
N3 H17 0.00044550734936
C4 H17 0.01067820673
C5 H17 0.0022233541145
C6 H17 0.045989474688
C7 H17 0.009433424967
C8 H17 0.95526485728
C9 H17 0.00020448218003
C10 H17 0.0053552001777
C11 H17 0.047610353355
C12 H17 0.0095285858099
H13 H17 0.00081926285516
H14 H17 0.0067880840161
H15 H17 0.0033179905988
H16 H17 0.0019342761457
O1 H18 0.0017181704896
O2 H18 0.0035827798734
N3 H18 0.87183313327
C4 H18 0.0070427251554
C5 H18 0.0227595138
C6 H18 0.00060073871868
C7 H18 0.00025110350997
C8 H18 0.00016528353717
C9 H18 0.0093214522666
C10 H18 4.5021862521e-05
C11 H18 2.1712413282e-05
C12 H18 0.00011003570553
H13 H18 0.00052885658606
H14 H18 0.0048918241458
H15 H18 0.001212894864
H16 H18 1.249851377e-05
H17 H18 2.2931976404e-05
O1 H19 0.0012506285702
O2 H19 0.022667735831
N3 H19 0.84074130728
C4 H19 0.0035053968718
C5 H19 0.022349711619
C6 H19 0.00040353671785
C7 H19 8.6603076131e-05
C8 H19 0.0002284893719
C9 H19 0.0036297497888
C10 H19 3.6878097589e-05
C11 H19 4.1473543385e-05
C12 H19 4.213764597e-05
H13 H19 0.0028132415958
H14 H19 0.00031037942175
H15 H19 0.010097101403
H16 H19 1.7160979394e-05
H17 H19 7.3143530168e-05
H18 H19 0.016650879596
O1 H20 9.3009622377e-05
O2 H20 6.2369981998e-05
N3 H20 9.5976512281e-05
C4 H20 0.0014725391303
C5 H20 9.9785485647e-05
C6 H20 0.0095115264328
C7 H20 0.047800828709
C8 H20 0.0054087258166
C9 H20 2.1245536174e-05
C10 H20 0.961468311
C11 H20 0.0096600802049
C12 H20 0.047584943496
H13 H20 8.2006086081e-05
H14 H20 0.00032059238345
H15 H20 3.2314759673e-05
H16 H20 0.0058322771406
H17 H20 0.00034819776327
H18 H20 8.2729790321e-06
H19 H20 2.9065822144e-06
O1 H21 5.6409441394e-05
O2 H21 4.3032890012e-05
N3 H21 8.3611232051e-05
C4 H21 0.0014856694427
C5 H21 6.974613056e-05
C6 H21 0.0094856623536
C7 H21 0.0053188640035
C8 H21 0.04801809945
C9 H21 2.6411781565e-05
C10 H21 0.009627299252
C11 H21 0.96123227568
C12 H21 0.047367805583
H13 H21 0.00035097727509
H14 H21 7.2144953011e-05
H15 H21 2.9432786198e-05
H16 H21 0.00032652706665
H17 H21 0.0059759354621
H18 H21 1.7700708593e-06
H19 H21 4.7308691517e-06
H20 H21 0.0017612255989
O1 H22 4.9566928002e-05
O2 H22 5.1425924179e-05
N3 H22 9.1323414711e-05
C4 H22 0.0003974183627
C5 H22 0.00028128883412
C6 H22 0.0051034730647
C7 H22 0.0096251090342
C8 H22 0.0095955830925
C9 H22 3.1831571031e-05
C10 H22 0.047639047861
C11 H22 0.047571965822
C12 H22 0.96206222155
H13 H22 0.00010810158342
H14 H22 0.00016197337411
H15 H22 3.7714770962e-05
H16 H22 0.0016418253192
H17 H22 0.0017014159067
H18 H22 6.4577512034e-06
H19 H22 2.4214394775e-06
H20 H22 0.0057980409012
H21 H22 0.0057853002351
O1 H23 0.62028858872
O2 H23 0.017504420842
N3 H23 0.0014086310616
C4 H23 0.00081307132662
C5 H23 0.0091446470507
C6 H23 0.00018205395303
C7 H23 0.00033120478511
C8 H23 9.9133771571e-05
C9 H23 0.011179545899
C10 H23 9.6588252577e-05
C11 H23 2.4638429984e-05
C12 H23 4.5092417014e-05
H13 H23 3.415751031e-05
H14 H23 0.00028341252222
H15 H23 0.00075283116242
H16 H23 3.1969495549e-05
H17 H23 3.7825259373e-06
H18 H23 0.00038384834534
H19 H23 3.792847636e-05
H20 H23 3.7743077697e-06
H21 H23 1.0853272179e-06
H22 H23 2.4788567704e-06
