Atom(A) Atom(B) Deloc_index
O1 O2 0.30194709496
O1 N3 0.015009955184
O2 N3 0.052247500932
O1 C4 0.083612155341
O2 C4 0.095029916726
N3 C4 0.98546832651
O1 C5 0.024257732762
O2 C5 0.017982371983
N3 C5 0.062219078125
C4 C5 0.91945856585
O1 C6 0.0035902050487
O2 C6 0.0026814959377
N3 C6 0.084906085195
C4 C6 0.04285656386
C5 C6 0.97077918695
O1 C7 0.0012443882844
O2 C7 0.0066967615261
N3 C7 0.9694529128
C4 C7 0.036618618476
C5 C7 0.052274969032
C6 C7 0.95791206643
O1 C8 0.83320520583
O2 C8 1.2351097268
N3 C8 0.065943066172
C4 C8 0.87740854077
C5 C8 0.050094249393
C6 C8 0.0052411478768
C7 C8 0.0035891720512
O1 H9 0.016398990714
O2 H9 0.016709411572
N3 H9 0.059619907542
C4 H9 0.9018745605
C5 H9 0.033991502547
C6 H9 0.0028848285478
C7 H9 0.0078380165633
C8 H9 0.045900770846
O1 H10 0.0020707605885
O2 H10 0.0020473593244
N3 H10 0.0061381331257
C4 H10 0.038788283763
C5 H10 0.95066452104
C6 H10 0.037951580938
C7 H10 0.0092612877193
C8 H10 0.0038115974039
H9 H10 0.0081191548394
O1 H11 0.016987408311
O2 H11 0.0039603425612
N3 H11 0.0047860193413
C4 H11 0.038275380528
C5 H11 0.93983483242
C6 H11 0.038892698417
C7 H11 0.0038533000889
C8 H11 0.01304085144
H9 H11 0.0053139988829
H10 H11 0.036590345302
O1 H12 0.00028144563733
O2 H12 0.00090182898169
N3 H12 0.013536442562
C4 H12 0.0088186289794
C5 H12 0.040312345314
C6 H12 0.95246873284
C7 H12 0.038530704535
C8 H12 0.00096769778664
H9 H12 0.0007916522043
H10 H12 0.0014062992134
H11 H12 0.0067617082131
O1 H13 0.00058213117035
O2 H13 0.00056191625965
N3 H13 0.013347534475
C4 H13 0.0021256819725
C5 H13 0.041291252074
C6 H13 0.94454595547
C7 H13 0.039859814206
C8 H13 0.00058628610934
H9 H13 0.00017322866642
H10 H13 0.0067539173126
H11 H13 0.0096516421373
H12 H13 0.036620522294
O1 H14 0.00059600213478
O2 H14 0.010252131423
N3 H14 0.072380969018
C4 H14 0.0034274789785
C5 H14 0.0059459679056
C6 H14 0.041109371559
C7 H14 0.92186074217
C8 H14 0.001846567547
H9 H14 0.0011294796418
H10 H14 0.00074870886089
H11 H14 0.0023464569191
H12 H14 0.0049568329258
H13 H14 0.011393569943
O1 H15 0.00060283258134
O2 H15 0.00063112428755
N3 H15 0.058359492965
C4 H15 0.010154974488
C5 H15 0.010485252005
C6 H15 0.037874475272
C7 H15 0.93192811384
C8 H15 0.0010083374883
H9 H15 0.00090293151868
H10 H15 0.001965585232
H11 H15 0.00061856778305
H12 H15 0.0013944986493
H13 H15 0.0054121620969
H14 H15 0.037287218689
O1 H16 0.0014585088605
O2 H16 0.027267971231
N3 H16 0.82476115833
C4 H16 0.020944637554
C5 H16 0.007342492982
C6 H16 0.0085556385811
C7 H16 0.020323963829
C8 H16 0.0051727507294
H9 H16 0.0012934756854
H10 H16 0.00086107890257
H11 H16 0.00068714605359
H12 H16 0.0019877528546
H13 H16 0.00047695010413
H14 H16 0.0028700432969
H15 H16 0.00081171151361
O1 H17 0.62112161213
O2 H17 0.017730193541
N3 H17 0.0025886686097
C4 H17 0.0085215480915
C5 H17 0.00049127968546
C6 H17 5.470977203e-05
C7 H17 0.00012879673654
C8 H17 0.011431122549
H9 H17 0.0003985643741
H10 H17 9.9432079794e-05
H11 H17 0.00018274608849
H12 H17 5.9075936526e-06
H13 H17 9.3799298903e-06
H14 H17 3.8076051485e-05
H15 H17 0.00013032983337
H16 H17 9.9007380076e-05
