Atom(A) Atom(B) Deloc_index
O1 O2 0.037479161016
O1 O3 0.0074014374278
O2 O3 0.29009746176
O1 N4 0.016340154143
O2 N4 0.012770268419
O3 N4 0.050380174747
O1 C5 0.081706735841
O2 C5 0.077674222828
O3 C5 0.090324076742
N4 C5 0.97795078048
O1 C6 0.8432162969
O2 C6 0.0074674010737
O3 C6 0.018690384373
N4 C6 0.073851515505
C5 C6 0.89850006679
O1 C7 0.018183579163
O2 C7 0.77470897419
O3 C7 1.160655913
N4 C7 0.071540422024
C5 C7 0.85768708982
C6 C7 0.04503023348
O1 H8 0.0078213331858
O2 H8 0.020939371628
O3 H8 0.012047955192
N4 H8 0.055549341409
C5 H8 0.90941273395
C6 H8 0.034126068629
C7 H8 0.036700634233
O1 H9 0.07546614979
O2 H9 0.0013203277582
O3 H9 0.003462085227
N4 H9 0.016287935062
C5 H9 0.03896219199
C6 H9 0.91482626498
C7 H9 0.0086276803248
H8 H9 0.0046229482655
O1 H10 0.066430391347
O2 H10 0.00097719874551
O3 H10 0.0079551166866
N4 H10 0.014082983463
C5 H10 0.036489696611
C6 H10 0.90857669785
C7 H10 0.0039454317132
H8 H10 0.0095080962412
H9 H10 0.033397128734
O1 H11 0.00051002523254
O2 H11 0.0010594923299
O3 H11 0.018020255432
N4 H11 0.84368883938
C5 H11 0.020832412301
C6 H11 0.0031205116834
C7 H11 0.0032665863318
H8 H11 0.0092716503083
H9 H11 0.00038399231316
H10 H11 0.0030903569652
O1 H12 0.0027109068338
O2 H12 0.00031260609494
O3 H12 0.0017313827328
N4 H12 0.87398605975
C5 H12 0.022377567741
C6 H12 0.0084548315678
C7 H12 0.0020378335389
H8 H12 0.0027164585948
H9 H12 0.00045633794972
H10 H12 0.00089016595988
H11 H12 0.016419496686
O1 H13 0.66284933425
O2 H13 0.0028262750932
O3 H13 0.00022628557047
N4 H13 0.00043198955364
C5 H13 0.0025351454432
C6 H13 0.013155560548
C7 H13 0.00027986428067
H8 H13 0.0016946063618
H9 H13 0.0010521603429
H10 H13 0.0081540123381
H11 H13 9.966677226e-05
H12 H13 2.2831256077e-05
O1 H14 0.00036538802383
O2 H14 0.60554279942
O3 H14 0.014060189773
N4 H14 0.0019491642957
C5 H14 0.0073698535121
C6 H14 0.00048350271188
C7 H14 0.010036175043
H8 H14 0.0006226386613
H9 H14 0.0002023975275
H10 H14 1.9902031566e-05
H11 H14 4.8465051567e-05
H12 H14 4.0227642595e-05
H13 H14 4.2717828281e-05
