Atom(A) Atom(B) Deloc_index
O1 O2 0.046326363594
O1 O3 0.0052740590658
O2 O3 0.29873554474
O1 N4 0.01680291104
O2 N4 0.013858924413
O3 N4 0.053066913931
O1 C5 0.85295937256
O2 C5 0.0081405386778
O3 C5 0.015153292817
N4 C5 0.0659606266
O1 C6 0.084506241289
O2 C6 0.08042266608
O3 C6 0.092359159041
N4 C6 0.99367023658
C5 C6 0.88635932863
O1 C7 0.087254439906
O2 C7 0.0012029354421
O3 C7 0.015341579318
N4 C7 0.023499472176
C5 C7 0.95580792195
C6 C7 0.038469477925
O1 C8 0.018698644418
O2 C8 0.81513067225
O3 C8 1.2101059411
N4 C8 0.073230975829
C5 C8 0.043960378386
C6 C8 0.86360668485
C7 C8 0.005877127549
O1 H9 0.0098731322946
O2 H9 0.02204127073
O3 H9 0.013211490558
N4 H9 0.05556114343
C5 H9 0.0340473219
C6 H9 0.90364437713
C7 H9 0.0085324071497
C8 H9 0.037198743243
O1 H10 0.075255243899
O2 H10 0.0014999376915
O3 H10 0.0032328517885
N4 H10 0.015047785772
C5 H10 0.8991036845
C6 H10 0.039836118076
C7 H10 0.037953808749
C8 H10 0.008770673246
H9 H10 0.0056084737534
O1 H11 0.013730270649
O2 H11 0.00015624555905
O3 H11 0.00084863005284
N4 H11 0.024233527886
C5 H11 0.039622224916
C6 H11 0.0025182067977
C7 H11 0.95149857353
C8 H11 0.00045136236234
H9 H11 0.00036738320211
H10 H11 0.0036091591974
O1 H12 0.01660631878
O2 H12 0.00043737773857
O3 H12 0.0015899314978
N4 H12 0.0027148726762
C5 H12 0.040170148263
C6 H12 0.010480147401
C7 H12 0.95398260624
C8 H12 0.0010028202269
H9 H12 0.0017645598704
H10 H12 0.0033482241591
H11 H12 0.036377145741
O1 H13 0.011309159365
O2 H13 0.00077951158267
O3 H13 0.0274957898
N4 H13 0.0016582405989
C5 H13 0.039067697215
C6 H13 0.0047513258379
C7 H13 0.94315973066
C8 H13 0.0039421728716
H9 H13 0.00033425600391
H10 H13 0.011472847955
H11 H13 0.036109409635
H12 H13 0.035803692519
O1 H14 0.00057929992462
O2 H14 0.0012080166521
O3 H14 0.019018237982
N4 H14 0.83599019309
C5 H14 0.0017184708162
C6 H14 0.021424302462
C7 H14 0.0066852411128
C8 H14 0.0036885255563
H9 H14 0.0094158201798
H10 H14 0.00030223418756
H11 H14 0.0065800605587
H12 H14 0.00099808974551
H13 H14 0.00097362014452
O1 H15 0.0026285076907
O2 H15 0.00035952399145
O3 H15 0.0018697659909
N4 H15 0.87248274227
C5 H15 0.0084176813056
C6 H15 0.023444127064
C7 H15 0.0015680889954
C8 H15 0.0021395940933
H9 H15 0.003224895044
H10 H15 0.00038605888262
H11 H15 0.0013110920421
H12 H15 0.00017315628953
H13 H15 8.9239598178e-05
H14 H15 0.016158965108
O1 H16 0.66576726848
O2 H16 0.0065648536358
O3 H16 0.00028059690025
N4 H16 0.00042880788441
C5 H16 0.013220709845
C6 H16 0.0037153725703
C7 H16 0.0081699364568
C8 H16 0.00039571707398
H9 H16 0.0027716102375
H10 H16 0.00083226096804
H11 H16 0.002199526832
H12 H16 0.00053591831988
H13 H16 0.00029229463237
H14 H16 9.872118819e-05
H15 H16 2.9463107464e-05
O1 H17 0.00055444590963
O2 H17 0.61452694916
O3 H17 0.016266807651
N4 H17 0.002350750865
C5 H17 0.00053900959389
C6 H17 0.0081931726911
C7 H17 3.0405265086e-05
C8 H17 0.010832254463
H9 H17 0.00066700019578
H10 H17 0.00023933584112
H11 H17 1.1988772562e-05
H12 H17 1.3200179177e-05
H13 H17 1.8918023377e-05
H14 H17 6.1944289337e-05
H15 H17 4.931180186e-05
H16 H17 0.00011350753285
