Atom Charge
O1 -1.124000343
O2 -1.2110392168
N3 -1.1929288892
N4 -0.993776887
C5 -0.0129350483
C6 0.0563059275
C7 -0.0185700247
C8 0.3829404518
C9 0.3755727675
C10 0.3438154774
C11 -0.0334337639
C12 -0.0218556902
C13 1.5659251065
C14 -0.0329923909
C15 -0.0271028733
H16 0.01286327244
H17 0.02523359218
H18 0.02813346033
H19 0.05582172104
H20 0.4157658719
H21 0.04750659184
H22 0.02432990825
H23 0.02295411571
H24 0.35482098116
H25 0.33913152987
H26 0.02344984806
H27 0.59351671031
