Atom(A) Atom(B) Deloc_index
O1 O2 0.27809077494
O1 N3 0.0014842096322
O2 N3 0.00014204102141
O1 N4 0.011610224053
O2 N4 0.047509498795
N3 N4 0.00066513178329
O1 C5 0.017050603762
O2 C5 0.0016169561459
N3 C5 0.16090195021
N4 C5 0.010209110782
O1 C6 0.0073949128088
O2 C6 0.017765981185
N3 C6 0.012106257036
N4 C6 0.069207621744
C5 C6 1.0013121234
O1 C7 0.021297824234
O2 C7 0.0028517843403
N3 C7 0.12526571514
N4 C7 0.00091622930612
C5 C7 1.148234872
C6 C7 0.036307240771
O1 C8 0.071982578471
O2 C8 0.083101520496
N3 C8 0.0039687000138
N4 C8 0.94234158113
C5 C8 0.044664706878
C6 C8 0.91193667813
C7 C8 0.004337898864
O1 C9 0.0023049813383
O2 C9 0.00031336514905
N3 C9 0.96248995641
N4 C9 0.00020959528781
C5 C9 0.061058903073
C6 C9 0.0066061455572
C7 C9 1.2219597912
C8 C9 0.00073940244793
O1 C10 0.0036370952518
O2 C10 0.00050078280685
N3 C10 0.98274629521
N4 C10 0.0021243324805
C5 C10 1.5163523859
C6 C10 0.05271413914
C7 C10 0.079808118632
C8 C10 0.014665919497
C9 C10 0.071135999501
O1 C11 0.011898358453
O2 C11 0.016391115664
N3 C11 0.013223515718
N4 C11 0.00010332337865
C5 C11 0.043580639869
C6 C11 0.0043557318855
C7 C11 1.2911586201
C8 C11 0.00058701818201
C9 C11 0.064619020235
C10 C11 0.027765890335
O1 C12 0.00064562308655
O2 C12 0.00054571902981
N3 C12 0.087495480317
N4 C12 4.2601693758e-05
C5 C12 0.0073068338532
C6 C12 0.00094733347785
C7 C12 0.052995179591
C8 C12 0.00014114581426
C9 C12 1.2784789051
C10 C12 0.013790100052
C11 C12 0.092143740872
O1 C13 0.71941698387
O2 C13 1.0704878556
N3 C13 0.00038887441928
N4 C13 0.073462974254
C5 C13 0.0062918528087
C6 C13 0.047906991243
C7 C13 0.0028139159363
C8 C13 0.85054657531
C9 C13 0.00020323945796
C10 C13 0.0009844881804
C11 C13 0.0025151965956
C12 C13 7.0257333355e-05
O1 C14 0.0017382744234
O2 C14 0.0019859052294
N3 C14 0.019236901704
N4 C14 5.9295093515e-05
C5 C14 0.016673047741
C6 C14 0.00064401479244
C7 C14 0.070734181095
C8 C14 0.00035876710612
C9 C14 0.072250234342
C10 C14 0.007433585016
C11 C14 1.4518288408
C12 C14 0.070483875183
C13 C14 0.00020724627779
O1 C15 0.00071749211368
O2 C15 0.00038523183947
N3 C15 0.019527364242
N4 C15 2.9736933314e-05
C5 C15 0.0071218764447
C6 C15 0.00047775669387
C7 C15 0.074797453215
C8 C15 0.00018278653895
C9 C15 0.074537795212
C10 C15 0.023931587741
C11 C15 0.07238219372
C12 C15 1.4454909439
C13 C15 0.00010512531852
C14 C15 1.3209618748
O1 H16 0.0008169306327
O2 H16 0.0091116519954
N3 H16 0.0025115453226
N4 H16 0.011391012079
C5 H16 0.041772553807
C6 H16 0.93503121384
C7 H16 0.0059600231493
C8 H16 0.038961674286
C9 H16 0.00043362096002
C10 H16 0.010071077843
C11 H16 0.0045666016934
C12 H16 0.00018605308577
C13 H16 0.0042530135428
