Atom Loc_index
O1 8.4372035037
O2 8.6280022977
N3 6.9101467849
N4 6.5956263454
C5 3.8830407422
C6 3.7086170868
C7 3.8996575271
C8 3.4318541057
C9 3.5935877841
C10 3.6073336359
C11 3.9119987753
C12 3.884337462
C13 2.7741138559
C14 3.9040784964
C15 3.9033858996
H16 0.49967152158
H17 0.4866136568
H18 0.48433705194
H19 0.44533085568
H20 0.14923319837
H21 0.44381514487
H22 0.47948942029
H23 0.48119448823
H24 0.1832899722
H25 0.19815439823
H26 0.47977011782
H27 0.060654455997
