Atom(A) Atom(B) Deloc_index
O1 O2 0.00019962383428
O1 O3 0.29606622855
O2 O3 7.9799272085e-05
O1 N4 0.010534947365
O2 N4 0.00031605687019
O3 N4 0.046658698923
O1 C5 0.0088895115377
O2 C5 0.0013961866641
O3 C5 0.023462042647
N4 C5 0.079830872324
O1 C6 0.080130554747
O2 C6 0.0011406973635
O3 C6 0.091202483264
N4 C6 0.97815790755
C5 C6 0.92001694206
O1 C7 0.01769060244
O2 C7 0.0211090373
O3 C7 0.0045799765901
N4 C7 0.015249215761
C5 C7 0.99759527702
C6 C7 0.044919306753
O1 C8 0.015266878221
O2 C8 0.015904021415
O3 C8 0.010638613048
N4 C8 0.0026652145709
C5 C8 0.051846605931
C6 C8 0.010709103792
C7 C8 1.3625264859
O1 C9 0.0051417830645
O2 C9 0.014194891044
O3 C9 0.00061001301575
N4 C9 0.0027301333778
C5 C9 0.051054766446
C6 C9 0.012187699414
C7 C9 1.3454170073
C8 C9 0.074473343261
O1 C10 0.8009178593
O2 C10 0.00012048906179
O3 C10 1.1725130264
N4 C10 0.068540597862
C5 C10 0.048410677025
C6 C10 0.85963545146
C7 C10 0.010217504505
C8 C10 0.005783442832
C9 C10 0.0011663121422
O1 C11 0.0032282241316
O2 C11 0.11876214378
O3 C11 0.0011854532063
N4 C11 0.00050268531511
C5 C11 0.0086299089585
C6 C11 0.0014625196589
C7 C11 0.07068286774
C8 C11 1.3844832855
C9 C11 0.096476600272
C10 C11 0.0004448447843
O1 C12 0.0015096808089
O2 C12 0.11100475672
O3 C12 0.00073427432011
N4 C12 0.00041129891496
C5 C12 0.0086477644676
C6 C12 0.0012383745692
C7 C12 0.069414125212
C8 C12 0.097038431517
C9 C12 1.409046508
C10 C12 0.00050410171327
C11 C12 0.064969622666
O1 C13 0.00096389191069
O2 C13 0.88037222723
O3 C13 0.00030004180815
N4 C13 0.0010470466616
C5 C13 0.0045546966528
C6 C13 0.003878844155
C7 C13 0.082980586478
C8 C13 0.07249275727
C9 C13 0.075045190217
C10 C13 0.00043618346563
C11 C13 1.3252285979
C12 C13 1.3008677352
O1 H14 0.0011097456533
O2 H14 0.00029789161794
O3 H14 0.013683634983
N4 H14 0.014777964388
C5 H14 0.93078958867
C6 H14 0.03730427561
C7 H14 0.038684499636
C8 H14 0.01197092121
C9 H14 0.0084010400133
C10 H14 0.004377257097
C11 H14 0.00092303888749
C12 H14 0.0015872507175
C13 H14 0.00095469022748
O1 H15 0.0014407320375
O2 H15 0.00052224474907
O3 H15 0.0038944752436
N4 H15 0.012697388286
C5 H15 0.9367026401
C6 H15 0.03945399404
C7 H15 0.040470110642
C8 H15 0.0093994512441
C9 H15 0.011489645084
C10 H15 0.0094197114293
C11 H15 0.0016756117584
C12 H15 0.00098296229923
C13 H15 0.0017376503526
H14 H15 0.035762334426
O1 H16 0.021843344379
O2 H16 8.1734742791e-05
O3 H16 0.011160106802
N4 H16 0.056332417262
C5 H16 0.035536627151
C6 H16 0.90431086386
C7 H16 0.0062402689253
C8 H16 0.0005750580938
C9 H16 0.0066177916445
C10 H16 0.033028478412
C11 H16 0.00059444208859
C12 H16 0.00075802585019
C13 H16 0.00034099137718
H14 H16 0.0099503152746
H15 H16 0.0036603163014
O1 H17 0.00091256406572
O2 H17 0.0019138884247
O3 H17 0.011635698477
N4 H17 0.00024053601215
C5 H17 0.0096670059601
C6 H17 0.00067618524175
