Atom(A) Atom(B) Deloc_index
O1 O2 0.31412647774
O1 N3 0.014154889219
O2 N3 0.067039110053
O1 C4 0.016047633503
O2 C4 0.017591186508
N3 C4 0.0760398872
O1 C5 0.083991204609
O2 C5 0.096872367431
N3 C5 1.0071800865
C4 C5 0.9123697125
O1 C6 0.027368968036
O2 C6 0.0018677787996
N3 C6 0.012574182495
C4 C6 0.98796802021
C5 C6 0.044953360126
O1 C7 0.012224923218
O2 C7 0.008602297215
N3 C7 0.02315878696
C4 C7 0.98457996365
C5 C7 0.045798577147
C6 C7 0.05272906888
O1 C8 0.87538017761
O2 C8 1.2821768198
N3 C8 0.061302787452
C4 C8 0.043999093624
C5 C8 0.88221209458
C6 C8 0.0027076686466
C7 C8 0.015797883021
O1 H9 0.0022603802702
O2 H9 0.0038945646046
N3 H9 0.02578023592
C4 H9 0.9112271016
C5 H9 0.041229349803
C6 H9 0.041956980524
C7 H9 0.041217962218
C8 H9 0.0094353640433
O1 H10 0.016135923375
O2 H10 0.01864377493
N3 H10 0.069595562922
C4 H10 0.035007128931
C5 H10 0.88576256777
C6 H10 0.013323908756
C7 H10 0.01007453271
C8 H10 0.047801151317
H9 H10 0.0024442295147
O1 H11 0.0017615898494
O2 H11 0.00043890283364
N3 H11 0.0019910947812
C4 H11 0.040776561315
C5 H11 0.0089788264098
C6 H11 0.95617491694
C7 H11 0.012948389639
C8 H11 0.0005247205788
H9 H11 0.0033045647013
H10 H11 0.011161611386
O1 H12 0.039469002292
O2 H12 0.001397004513
N3 H12 0.00095098937646
C4 H12 0.038935868454
C5 H12 0.0028624824086
C6 H12 0.93577476749
C7 H12 0.0084645261696
C8 H12 0.00092390661478
H9 H12 0.012779432917
H10 H12 0.00058249391594
H11 H12 0.037218013909
O1 H13 0.0030044022843
O2 H13 0.00063993040587
N3 H13 0.0024441205287
C4 H13 0.041742101301
C5 H13 0.011868925805
C6 H13 0.95727974356
C7 H13 0.008298869205
C8 H13 0.00072940977091
H9 H13 0.0049064428233
H10 H13 0.0013428296736
H11 H13 0.03834795541
H12 H13 0.036123289526
O1 H14 0.019464617759
O2 H14 0.0052561034906
N3 H14 0.0016952649616
C4 H14 0.041227402392
C5 H14 0.0041912819756
C6 H14 0.0090891129168
C7 H14 0.94498653427
C8 H14 0.0075768262552
H9 H14 0.013223377479
H10 H14 0.00039399035797
H11 H14 0.00092064329158
H12 H14 0.0060054201164
H13 H14 0.00052337854567
O1 H15 0.0011708873409
O2 H15 0.0010582320223
N3 H15 0.0020112903424
C4 H15 0.041126842866
C5 H15 0.012423589364
C6 H15 0.007851303412
C7 H15 0.95788377398
C8 H15 0.0022639555485
H9 H15 0.004580485654
H10 H15 0.0026183204629
H11 H15 0.00080517253667
H12 H15 0.00047172828529
H13 H15 0.0060454769405
H14 H15 0.038086273952
O1 H16 0.00071248897095
O2 H16 0.0036464132665
N3 H16 0.031724359582
C4 H16 0.0377491748
C5 H16 0.0056837195449
C6 H16 0.012006568146
C7 H16 0.94011786082
C8 H16 0.0017793772801
H9 H16 0.0027502594268
H10 H16 0.00079895025526
H11 H16 0.0034145022987
H12 H16 0.0007766827388
H13 H16 0.00084239276222
H14 H16 0.035810158738
H15 H16 0.035871131684
O1 H17 0.0017482456428
O2 H17 0.038026499876
N3 H17 0.82103095166
C4 H17 0.0083986606523
C5 H17 0.021521167401
C6 H17 0.0020641696567
C7 H17 0.00040622380244
C8 H17 0.0053753251362
H9 H17 0.0012797054276
H10 H17 0.0012014503117
H11 H17 0.00012134367816
H12 H17 0.000100302317
H13 H17 0.00050611128459
H14 H17 2.8276418815e-05
H15 H17 7.3697971126e-05
H16 H17 0.00047856310444
O1 H18 0.001706847243
O2 H18 0.0038873843001
N3 H18 0.87291340009
C4 H18 0.0024889257634
C5 H18 0.024117919657
C6 H18 0.00037582231166
C7 H18 0.00071535004552
C8 H18 0.0078554612427
H9 H18 0.0024966223487
H10 H18 0.0044873206447
H11 H18 8.3243118464e-05
H12 H18 8.7524052903e-05
H13 H18 5.5162950993e-05
H14 H18 0.00017117532601
H15 H18 6.1488751797e-05
H16 H18 0.0006579320044
H17 H18 0.015986334133
O1 H19 0.62768424743
O2 H19 0.021634373677
N3 H19 0.0020247703171
C4 H19 0.00038571822488
C5 H19 0.009650278196
C6 H19 0.00072687863046
C7 H19 0.00014987388539
C8 H19 0.012222984186
H9 H19 0.00014703676009
H10 H19 0.00036736986804
H11 H19 2.7775484981e-05
H12 H19 0.00068141400967
H13 H19 0.00017008482861
H14 H19 0.00015596690533
H15 H19 1.022250539e-05
H16 H19 1.0516651392e-05
H17 H19 0.00010720938296
H18 H19 0.00033162586747
